index,output.relations_lemma,aqs,aqs_initial
break out--safety,10605,0.0001,0.0001
brandish-r-pointed,10605,0.0001,0.0001
brandish-r-shot,10605,0.0001,0.0001
harm--in vain,10605,0.0001,0.0001
break away--vigil,10605,0.0001,0.0001
break out--commotion,10605,0.0001,0.0001
break out--press up,10605,0.0001,0.0001
break out--take,10605,0.0001,0.0001
break out-r-press up,10605,0.0001,0.0001
happen--incident,10605,0.0001,0.0001
hand down-r-verdict,10605,0.0001,0.0001
break out-r-take,10605,0.0001,0.0001
hand down--verdict,10605,0.0001,0.0001
hand down--murder,10605,0.0001,0.0001
gunplay-r-trial,10605,0.0001,0.0001
burglary-r-charge,10605,0.0001,0.0001
burglary-r-shot,10605,0.0001,0.0001
burst out--interview,10605,0.0001,0.0001
burst out--shot,10605,0.0001,0.0001
buy--fire,10605,0.0001,0.0001
gunfire-r-kill,10605,0.0001,0.0001
gunfire-r-identify,10605,0.0001,0.0001
gunfire--watch,10605,0.0001,0.0001
gunfire--involve,10605,0.0001,0.0001
parole--weigh,10605,0.0001,0.0001
gun down-r-wound,10605,0.0001,0.0001
have-r-riot,10605,0.0001,0.0001
bid-r-occur,10605,0.0001,0.0001
barricade-r-confront,10605,0.0001,0.0001
hide-r-try,10605,0.0001,0.0001
shot--smash,10605,0.0001,0.0001
bash--fuel,10605,0.0001,0.0001
shooting-r-yard work,10605,0.0001,0.0001
bash-r-kill,10605,0.0001,0.0001
hide-r-left,10605,0.0001,0.0001
operation-r-thwart,10605,0.0001,0.0001
battle--reveal,10605,0.0001,0.0001
hearing-r-ruling,10605,0.0001,0.0001
hearing-r-laugh,10605,0.0001,0.0001
beef-r-belong to,10605,0.0001,0.0001
beef-r-shooting,10605,0.0001,0.0001
beef-r-spark,10605,0.0001,0.0001
hearing--pencil in,10605,0.0001,0.0001
hear-r-testify,10605,0.0001,0.0001
hear-r-severe,10605,0.0001,0.0001
order-r-shot,10605,0.0001,0.0001
shooting-r-speak,10605,0.0001,0.0001
believe-r-house,10605,0.0001,0.0001
hear--severe,10605,0.0001,0.0001
bid--occur,10605,0.0001,0.0001
have-r-shot,10605,0.0001,0.0001
boast--death,10605,0.0001,0.0001
gun down-r-leave,10605,0.0001,0.0001
shooting--spiritual,10605,0.0001,0.0001
penalty--seek,10605,0.0001,0.0001
catch--follow - up,10605,0.0001,0.0001
catch-r-crossfire,10605,0.0001,0.0001
chaos--dead,10605,0.0001,0.0001
chaos--riot,10605,0.0001,0.0001
chaos-r-sound,10605,0.0001,0.0001
follow-r-look,10605,0.0001,0.0001
chaotic--protest,10605,0.0001,0.0001
follow--throw,10605,0.0001,0.0001
chaotic--turn,10605,0.0001,0.0001
follow--march,10605,0.0001,0.0001
follow - up-r-injure,10605,0.0001,0.0001
follow - up--shooting,10605,0.0001,0.0001
follow - up--injure,10605,0.0001,0.0001
foiled--transit,10605,0.0001,0.0001
foiled--pirate,10605,0.0001,0.0001
foiled--piracy,10605,0.0001,0.0001
charge--gun down,10605,0.0001,0.0001
foiled--on escort duty,10605,0.0001,0.0001
charge--hear,10605,0.0001,0.0001
charge--hide,10605,0.0001,0.0001
foil-r-piracy,10605,0.0001,0.0001
charge--left,10605,0.0001,0.0001
charge--play,10605,0.0001,0.0001
catch--crossfire,10605,0.0001,0.0001
fuel-r-smash,10605,0.0001,0.0001
furious--vigil,10605,0.0001,0.0001
furious-r-struggle,10605,0.0001,0.0001
call-r-knock,10605,0.0001,0.0001
guilty--rampage,10605,0.0001,0.0001
capture--pirate,10605,0.0001,0.0001
grow-r-march,10605,0.0001,0.0001
grow--kill,10605,0.0001,0.0001
capture-r-confiscate,10605,0.0001,0.0001
grip--push,10605,0.0001,0.0001
perform--use,10605,0.0001,0.0001
capture-r-pirate,10605,0.0001,0.0001
perform--wait,10605,0.0001,0.0001
capture-r-transit,10605,0.0001,0.0001
barricade--confront,10605,0.0001,0.0001
go--spree,10605,0.0001,0.0001
give-r-mean,10605,0.0001,0.0001
case--conclude,10605,0.0001,0.0001
case--custody,10605,0.0001,0.0001
case--kill,10605,0.0001,0.0001
case--life,10605,0.0001,0.0001
case--murder,10605,0.0001,0.0001
case--weigh,10605,0.0001,0.0001
case-r-conclude,10605,0.0001,0.0001
case-r-custody,10605,0.0001,0.0001
case-r-status,10605,0.0001,0.0001
case-r-warrant,10605,0.0001,0.0001
go--shooting,10605,0.0001,0.0001
charge--seek,10605,0.0001,0.0001
bail-r-release,10605,0.0001,0.0001
hit--protest,10605,0.0001,0.0001
ask--boast,10605,0.0001,0.0001
intervene-r-shot,10605,0.0001,0.0001
intervene-r-join in,10605,0.0001,0.0001
intervene--vigil,10605,0.0001,0.0001
intervene--shot,10605,0.0001,0.0001
interdict--operation,10605,0.0001,0.0001
ask-r-review,10605,0.0001,0.0001
intercept-r-nab,10605,0.0001,0.0001
assault--burglary,10605,0.0001,0.0001
intend-r-target,10605,0.0001,0.0001
assault-r-charge,10605,0.0001,0.0001
assault-r-shot,10605,0.0001,0.0001
injury-r-return,10605,0.0001,0.0001
injury-r-murder,10605,0.0001,0.0001
slay--snowball,10605,0.0001,0.0001
injure--shot,10605,0.0001,0.0001
attack--on escort duty,10605,0.0001,0.0001
injure--open fire,10605,0.0001,0.0001
attack--pirate,10605,0.0001,0.0001
in vain-r-mental health problem,10605,0.0001,0.0001
in vain--mental health problem,10605,0.0001,0.0001
attack-r-chase,10605,0.0001,0.0001
attack-r-confiscate,10605,0.0001,0.0001
arrival-r-rush,10605,0.0001,0.0001
attack-r-deploy,10605,0.0001,0.0001
arrival-r-declare,10605,0.0001,0.0001
arrival--rush,10605,0.0001,0.0001
arrest--show,10605,0.0001,0.0001
job--make way,10605,0.0001,0.0001
arrest--suspect,10605,0.0001,0.0001
occur-r-plague,10605,0.0001,0.0001
arrest--thought,10605,0.0001,0.0001
arrest--throw,10605,0.0001,0.0001
occur-r-report,10605,0.0001,0.0001
involve-r-riot,10605,0.0001,0.0001
involve-r-protest,10605,0.0001,0.0001
arrest-r-consider,10605,0.0001,0.0001
statement--wound,10605,0.0001,0.0001
spray-r-trial,10605,0.0001,0.0001
investigate-r-work,10605,0.0001,0.0001
on bond--on suspicion,10605,0.0001,0.0001
spark-r-trial,10605,0.0001,0.0001
on bond-r-on suspicion,10605,0.0001,0.0001
on escort duty-r-transit,10605,0.0001,0.0001
investigate--status,10605,0.0001,0.0001
sound--war zone,10605,0.0001,0.0001
intoxicate-r-pull over,10605,0.0001,0.0001
arrest-r-thought,10605,0.0001,0.0001
slaying-r-warrant,10605,0.0001,0.0001
arrival--dead,10605,0.0001,0.0001
arrival--shooting,10605,0.0001,0.0001
in search--surprised,10605,0.0001,0.0001
attack-r-foiled,10605,0.0001,0.0001
show--wound,10605,0.0001,0.0001
house--shooting,10605,0.0001,0.0001
attempt-r-use,10605,0.0001,0.0001
attempt-r-wait,10605,0.0001,0.0001
shot--yard work,10605,0.0001,0.0001
autopsy-r-unruly,10605,0.0001,0.0001
shot--violence,10605,0.0001,0.0001
hostile--kill,10605,0.0001,0.0001
avoid-r-circumstance,10605,0.0001,0.0001
avoid-r-commit,10605,0.0001,0.0001
avoid-r-find,10605,0.0001,0.0001
avoid-r-kill,10605,0.0001,0.0001
hope--suspicion,10605,0.0001,0.0001
avoid-r-perform,10605,0.0001,0.0001
avoid-r-use,10605,0.0001,0.0001
shot--suspicion,10605,0.0001,0.0001
await--order,10605,0.0001,0.0001
await--transfer,10605,0.0001,0.0001
hit-r-thrashing,10605,0.0001,0.0001
