index,output.relations_noOffset,aqs,aqs_initial
kept--locked up,10605,0.0001,0.0001
avoid-r-commit,10605,0.0001,0.0001
avoid-r-found,10605,0.0001,0.0001
avoid-r-killed,10605,0.0001,0.0001
avoid-r-performing,10605,0.0001,0.0001
avoid-r-used,10605,0.0001,0.0001
await--ordered,10605,0.0001,0.0001
await--transferred,10605,0.0001,0.0001
await-r-ordered,10605,0.0001,0.0001
escorted--feuding,10605,0.0001,0.0001
laughed--put,10605,0.0001,0.0001
lashing out-r-turned,10605,0.0001,0.0001
avoid-r-circumstances,10605,0.0001,0.0001
bail hearing--entered,10605,0.0001,0.0001
knocking--looking,10605,0.0001,0.0001
dead-r-riot,10605,0.0001,0.0001
knocked--shooting,10605,0.0001,0.0001
bail-r-released,10605,0.0001,0.0001
barricaded--confronted,10605,0.0001,0.0001
barricaded-r-confronted,10605,0.0001,0.0001
knocked--occurred,10605,0.0001,0.0001
bashed--fueled,10605,0.0001,0.0001
killing-r-went on,10605,0.0001,0.0001
bashed-r-killed,10605,0.0001,0.0001
dead-r-leaves,10605,0.0001,0.0001
bail hearing-r-entered,10605,0.0001,0.0001
left--ran,10605,0.0001,0.0001
convicted--second - degree murder,10605,0.0001,0.0001
autopsy-r-unruly,10605,0.0001,0.0001
attempted--found,10605,0.0001,0.0001
lying-r-wait,10605,0.0001,0.0001
lying-r-performing,10605,0.0001,0.0001
lying-r-murder,10605,0.0001,0.0001
lying--performing,10605,0.0001,0.0001
attempted--posession,10605,0.0001,0.0001
attempted-r-charged,10605,0.0001,0.0001
dead-r-that,10605,0.0001,0.0001
attempted-r-commit,10605,0.0001,0.0001
looking--suspicion,10605,0.0001,0.0001
attempted-r-convicted,10605,0.0001,0.0001
looking--searched,10605,0.0001,0.0001
attempted-r-duties,10605,0.0001,0.0001
attempted-r-guilty,10605,0.0001,0.0001
attempted-r-looking,10605,0.0001,0.0001
attempted-r-posession,10605,0.0001,0.0001
life-r-slaying,10605,0.0001,0.0001
attempted-r-used,10605,0.0001,0.0001
attempted-r-wait,10605,0.0001,0.0001
life--weighed,10605,0.0001,0.0001
life--warrants,10605,0.0001,0.0001
letting off-r-shots,10605,0.0001,0.0001
left-r-wounded,10605,0.0001,0.0001
left-r-tried,10605,0.0001,0.0001
left-r-ran,10605,0.0001,0.0001
battle--revealed,10605,0.0001,0.0001
attempted--duties,10605,0.0001,0.0001
killing-r-passed,10605,0.0001,0.0001
killing--walked,10605,0.0001,0.0001
killed--knocking,10605,0.0001,0.0001
bought--fired,10605,0.0001,0.0001
dead--that,10605,0.0001,0.0001
escorted-r-wounded,10605,0.0001,0.0001
brandished-r-pointed,10605,0.0001,0.0001
brandished-r-shot,10605,0.0001,0.0001
breaks out--commotion,10605,0.0001,0.0001
breaks out--press up,10605,0.0001,0.0001
breaks out--safety,10605,0.0001,0.0001
kept-r-locked up,10605,0.0001,0.0001
breaks out--take,10605,0.0001,0.0001
killed--lying,10605,0.0001,0.0001
breaks out-r-press up,10605,0.0001,0.0001
broke away--vigil,10605,0.0001,0.0001
joined in--vigil,10605,0.0001,0.0001
burglary-r-charged,10605,0.0001,0.0001
burglary-r-shot,10605,0.0001,0.0001
burst out--interviewing,10605,0.0001,0.0001
job-r-opened fire,10605,0.0001,0.0001
burst out--shot,10605,0.0001,0.0001
dead--leaves,10605,0.0001,0.0001
executed-r-nabbed,10605,0.0001,0.0001
job--made way,10605,0.0001,0.0001
execution--murdering,10605,0.0001,0.0001
breaks out-r-take,10605,0.0001,0.0001
killed--named,10605,0.0001,0.0001
escorted-r-waved,10605,0.0001,0.0001
killed--pointed,10605,0.0001,0.0001
killing--statement,10605,0.0001,0.0001
beef-r-belonged to,10605,0.0001,0.0001
beef-r-shooting,10605,0.0001,0.0001
beef-r-sparked,10605,0.0001,0.0001
killed-r-working,10605,0.0001,0.0001
killed-r-worked,10605,0.0001,0.0001
killed-r-vigil,10605,0.0001,0.0001
killed-r-used,10605,0.0001,0.0001
killed-r-struggled,10605,0.0001,0.0001
killed-r-riots,10605,0.0001,0.0001
escorted-r-killing,10605,0.0001,0.0001
believed-r-houses,10605,0.0001,0.0001
escorted-r-opened fire,10605,0.0001,0.0001
killed-r-knocking,10605,0.0001,0.0001
killed-r-knocked,10605,0.0001,0.0001
killed--working,10605,0.0001,0.0001
bid--occurred,10605,0.0001,0.0001
bid-r-occurred,10605,0.0001,0.0001
boasting--death,10605,0.0001,0.0001
killed--status,10605,0.0001,0.0001
killed--snowballs,10605,0.0001,0.0001
killed--smashed,10605,0.0001,0.0001
killed--revealed,10605,0.0001,0.0001
dead--violence,10605,0.0001,0.0001
killed--pointing,10605,0.0001,0.0001
killing-r-made public,10605,0.0001,0.0001
dead--follow - up,10605,0.0001,0.0001
made public--trial,10605,0.0001,0.0001
made way--passed,10605,0.0001,0.0001
occurred--shooting,10605,0.0001,0.0001
named-r-violations,10605,0.0001,0.0001
named-r-shot,10605,0.0001,0.0001
named-r-revealed,10605,0.0001,0.0001
named--violations,10605,0.0001,0.0001
death--sentence,10605,0.0001,0.0001
murders-r-used,10605,0.0001,0.0001
murders-r-revealed,10605,0.0001,0.0001
murders--revealed,10605,0.0001,0.0001
death--ruling,10605,0.0001,0.0001
entered--pleas,10605,0.0001,0.0001
occurred--violence,10605,0.0001,0.0001
murdering-r-set,10605,0.0001,0.0001
murdering--set,10605,0.0001,0.0001
entered--scheduled,10605,0.0001,0.0001
arrested-r-thought,10605,0.0001,0.0001
murder-r-working,10605,0.0001,0.0001
arrests--hit,10605,0.0001,0.0001
arrests--protest,10605,0.0001,0.0001
arrests--thrown,10605,0.0001,0.0001
death--penalty,10605,0.0001,0.0001
death--named,10605,0.0001,0.0001
death--life,10605,0.0001,0.0001
murder-r-returned,10605,0.0001,0.0001
murdering-r-ordered,10605,0.0001,0.0001
occurred-r-plagued,10605,0.0001,0.0001
occurred-r-report,10605,0.0001,0.0001
on bond--on suspicion,10605,0.0001,0.0001
performing--used,10605,0.0001,0.0001
penalty--seek,10605,0.0001,0.0001
patrols-r-thwarted,10605,0.0001,0.0001
dying-r-tried,10605,0.0001,0.0001
emotion-r-murder,10605,0.0001,0.0001
arrested--fights,10605,0.0001,0.0001
parole--weighed,10605,0.0001,0.0001
death-r-erupt,10605,0.0001,0.0001
arrested--killing,10605,0.0001,0.0001
death-r-delayed,10605,0.0001,0.0001
arrested--piracy,10605,0.0001,0.0001
orders-r-shots,10605,0.0001,0.0001
death--violations,10605,0.0001,0.0001
operation-r-thwarted,10605,0.0001,0.0001
arrested--showing,10605,0.0001,0.0001
enraged--revealed,10605,0.0001,0.0001
arrested--suspected,10605,0.0001,0.0001
