worker,duration,output.relations_noOffset.count,job,judgment,unit,wqs,wqs_initial
44196945,203.0,1.0,1,1,1,0.0,0.0
39664721,73.0,1.0,1,2,2,6.79971146556e-06,0.00230534722989
34534543,165.0,1.0,1,1,1,6.27648712044e-05,0.00547832134891
43645733,37.0,1.0,1,3,3,0.000119110219724,0.000693415917985
43984981,31.0714285714,1.0,1,28,28,0.00117819260873,0.00270988782753
43332393,126.333333333,1.0,1,3,3,0.00213408205373,0.0102185380567
43923861,66.0,1.0,1,1,1,0.0027336521514,0.00591147063287
43971951,24.3333333333,1.0,1,9,9,0.003544246407,0.0804192413751
44022928,13.1428571429,1.0,1,7,7,0.00368703034682,0.0775929307249
44214817,21.375,2.375,1,8,8,0.00473977716719,0.0125677668897
43314753,46.5,2.0,1,2,2,0.00520542540504,0.0156702094596
44207097,244.25,1.0,1,12,12,0.00537845791913,0.0178910248818
43975211,65.3076923077,1.0,1,13,13,0.00562173482172,0.0649482330069
43883205,19.0666666667,1.0,1,15,15,0.00643686798081,0.0606836471053
42577934,40.6666666667,1.06666666667,1,15,15,0.011731749183,0.0178972254113
44208196,206.071428571,1.0,1,14,14,0.0147115827893,0.0318893371574
25496660,15.6,2.0,1,5,5,0.0157653640702,0.0352177315467
44208285,110.75,1.0,1,4,4,0.0167836802953,0.0324381906719
42693607,52.0465116279,1.02325581395,1,43,43,0.0208523234411,0.0341950290794
43713735,33.3333333333,1.0,1,6,6,0.0209743118078,0.0309162669315
30145358,72.0,1.0,1,1,1,0.0291420028219,0.0582015510273
7348582,50.5,1.0,1,2,2,0.0292278929561,0.0242285901893
44250230,88.5,2.0,1,2,2,0.0295301753904,0.0776306055128
44181754,198.666666667,1.06666666667,1,15,15,0.0318212161798,0.0383496173375
18549673,56.0,1.0,1,1,1,0.0357683074436,0.0621473457244
44101328,60.0,1.08333333333,1,12,12,0.0367737964319,0.0392306953233
44222882,99.0666666667,1.0,1,15,15,0.0379782720302,0.0614331612779
44229659,38.2,1.0,1,5,5,0.0420476340732,0.0597917922394
43630454,43.2040816327,1.0612244898,1,49,49,0.043494871432,0.0436656866732
36891115,86.03125,1.21875,1,32,32,0.045985967975,0.0347227520826
44215040,45.9333333333,1.0,1,15,15,0.049246917485,0.0423882680006
40735073,123.25,1.75,1,8,8,0.0499668968929,0.0691646054793
44180540,31.375,1.0,1,16,16,0.0512250846302,0.048569475497
44229723,47.05,1.0,1,20,20,0.0532765545963,0.0305011968913
44282818,53.5333333333,1.0,1,15,15,0.055384735371,0.0496772369831
44177859,345.571428571,1.0,1,7,7,0.0575797447177,0.0441092105509
44282879,47.1333333333,1.26666666667,1,15,15,0.0590178782184,0.0777490955788
24992939,19.9189189189,1.13513513514,1,37,37,0.0614283948842,0.0545931685863
17950689,114.56,1.0,1,50,50,0.0640102309801,0.05158557807
44099814,125.0,2.0,1,1,1,0.0640592161442,0.0673508216915
44228548,72.125,1.0,1,16,16,0.0675228501861,0.0570990429474
43975115,87.0,1.11111111111,1,9,9,0.0783491750411,0.0664469152835
42544704,17.0,1.0,1,1,1,0.0813098407775,0.124695937278
44261397,87.8333333333,1.16666666667,1,6,6,0.0821942124458,0.0790430537728
42820715,90.2,1.66666666667,1,15,15,0.0829545016331,0.0808449771858
13197642,47.6666666667,1.73333333333,1,15,15,0.0852006130113,0.0598072865332
44116196,25.8888888889,2.0,1,9,9,0.0856935952205,0.0848169151279
44099994,36.25,1.1875,1,16,16,0.0887864756989,0.0722059823203
44054204,107.222222222,1.33333333333,1,27,27,0.0900093501695,0.0551575457136
20179847,58.5,1.0,1,2,2,0.0919964033479,0.0977247120169
43859546,46.5,2.5,1,2,2,0.0940086144018,0.0727401147296
44012585,241.857142857,1.14285714286,1,7,7,0.0940361190551,0.0897279888466
44227105,119.714285714,2.0,1,14,14,0.0949612859967,0.0811995423887
