worker,duration,output.relations_lemma.count,job,judgment,unit,wqs,wqs_initial
43522574,185.0,1.0,1,1,1,2.86718590142e-07,0.00378570671431
44229723,19.0,1.0,1,2,2,0.00021262193613,0.00312597972675
8715359,176.0,1.0,1,1,1,0.00116202983675,0.00429172691519
43975211,14.0,1.0,1,2,2,0.00285468008232,0.0116261503964
42577934,34.5,1.0,1,2,2,0.00361973306237,0.00693422844397
44195361,94.25,1.0,1,4,4,0.00420214296673,0.0210834090465
44060750,11.0,1.0,1,1,1,0.00665923606183,0.0061006278388
44237949,44.6666666667,1.0,1,3,3,0.00877853218841,0.0209398833438
44126851,85.75,1.0,1,4,4,0.0128321604389,0.0181534821023
44177859,235.0,1.0,1,1,1,0.0148334602186,0.0152359304269
44031573,42.0,1.0,1,1,1,0.0150372862268,0.0460162731478
44015607,159.0,1.25,1,4,4,0.0151606697904,0.0231103989247
44176903,41.0,1.0,1,1,1,0.0155881102761,0.0206404608625
36518845,49.0,1.0,1,2,2,0.0162274306388,0.0230567407939
35962748,125.0,1.0,1,1,1,0.0171399337211,0.0487348742301
44208196,53.0,1.0,1,5,5,0.0210199483547,0.014659638704
44179448,35.9473684211,1.0,1,19,19,0.0210425761961,0.0199148965716
20407931,32.7142857143,1.0,1,7,7,0.0232525752187,0.0284943996668
44221734,22.0,4.0,1,1,1,0.0259010008995,0.0481061880502
14528761,22.0,1.0,1,1,1,0.0273302858956,0.0326760441692
44162476,10.5,6.0,1,2,2,0.0273420334754,0.0519138255899
44082600,144.5,4.0,1,2,2,0.029320319593,0.0555566512322
44141802,88.3333333333,1.66666666667,1,3,3,0.02987516359,0.0675079943279
43939644,115.666666667,1.0,1,3,3,0.0307688091066,0.0394789199825
44227220,133.0,1.0,1,4,4,0.0310104462011,0.0670835507886
44159593,247.333333333,1.0,1,6,6,0.0354096282553,0.0465490646247
44293663,251.25,1.0,1,4,4,0.0370836118133,0.042681509739
44303435,16.8666666667,1.0,1,15,15,0.0379402226721,0.0411452739373
44111966,21.3333333333,1.0,1,18,18,0.0380613763536,0.0480502123971
41127744,25.7666666667,1.16666666667,1,30,30,0.0390539901937,0.0413648065276
44032696,129.5,1.0,1,4,4,0.041548836045,0.0484300447676
43517926,145.5,1.0,1,2,2,0.0427937577518,0.0296508588713
15577915,14.5,1.16666666667,1,6,6,0.0458036660677,0.069613910211
3671372,23.0,1.0,1,1,1,0.0478691252287,0.0557982688036
31508822,36.1515151515,1.0303030303,1,33,33,0.0505491770099,0.0350789152436
44215146,203.307692308,1.07692307692,1,13,13,0.0526439521718,0.0588177840675
43985816,39.2888888889,1.0,1,45,45,0.0530250006007,0.0660539289233
44217097,41.08,1.0,1,25,25,0.0551677159083,0.0931552049482
11106820,104.466666667,1.0,1,15,15,0.0562497201716,0.0802686575419
36468266,37.0769230769,1.0,1,39,39,0.0568972530084,0.0461732207267
17950689,116.904761905,1.0,1,63,63,0.0612608837593,0.0384940606547
44113725,196.136363636,1.0,1,22,22,0.0625972491473,0.057291337627
44303445,12.4,1.0,1,15,15,0.0626697492428,0.0534302005808
44217072,39.1578947368,1.0,1,38,38,0.0661356514376,0.116239123336
44217106,67.4871794872,1.0,1,39,39,0.066530901177,0.116762246872
43984981,35.593220339,1.0,1,59,59,0.0666753113722,0.0693093492968
40725179,75.6,1.0,1,15,15,0.0695181488739,0.0643760826103
43650804,48.1333333333,1.2,1,15,15,0.0716973694599,0.0752106026522
44221674,38.0,1.0,1,1,1,0.0719632364393,0.132854444279
6576528,42.6326530612,1.04081632653,1,49,49,0.0747227774512,0.0612694031955
19302668,69.0,1.0,1,1,1,0.0758923548081,0.0425684140435
24835873,30.6386554622,1.01680672269,1,119,119,0.0763607067814,0.0571209249358
43665383,48.0666666667,1.0,1,15,15,0.0767554621377,0.0559931083772
43972054,45.4545454545,1.0,1,11,11,0.076861356393,0.0580646750402
43883205,42.6470588235,1.0,1,17,17,0.0807681105116,0.0706817435795
44054282,127.772727273,1.63636363636,1,22,22,0.0820316172071,0.0664668340095
44223324,60.0,3.0,1,2,2,0.0844512640536,0.0669541557575
43860631,20.5217391304,2.17391304348,1,23,23,0.0850286890714,0.0797235261481
44282818,106.692307692,1.0,1,26,26,0.085077322797,0.0629562440431
8261925,144.5,1.5,1,2,2,0.0865327653932,0.0619931485266
43102813,162.411764706,1.29411764706,1,34,34,0.0874275814524,0.0710554026272
44196782,90.55,1.0,1,60,60,0.0887642348834,0.0696955911149
44207097,49.4761904762,1.0,1,63,63,0.0890272677617,0.0978870593986
44265785,158.6,1.0,1,5,5,0.0895455718509,0.101121064894
44203945,41.4,1.0,1,5,5,0.0907084392069,0.0893194952017
38517728,40.0,1.0,1,4,4,0.0917955198691,0.123892304832
27770607,38.0891089109,1.0198019802,1,101,101,0.0920771378976,0.0651841988963
19526833,89.8666666667,1.0,1,15,15,0.0937616857602,0.0583207601395
43167893,217.266666667,1.0,1,30,29,0.093815723761,0.0824517270814
28577612,37.0,2.0,1,1,1,0.0942382313202,0.134746673486
41812828,39.2941176471,1.11764705882,1,17,17,0.0948688340869,0.0899259740018
44254107,68.0,1.0,1,1,1,0.0953074500487,0.102626371642
10959404,30.4473684211,1.05263157895,1,38,38,0.0956707208514,0.08824968848
43785549,94.4666666667,1.26666666667,1,15,15,0.0957572696846,0.0821735908516
44170083,82.8571428571,1.2,1,35,35,0.0964220152809,0.0712698339479
43995157,67.5333333333,1.0,1,15,15,0.0992091435962,0.0786609304237
44165199,413.0,2.0,1,2,2,0.101773730665,0.151485131066
15004831,141.888888889,2.55555555556,1,9,9,0.10234889421,0.111162097593
44215731,48.8666666667,1.0,1,15,15,0.104398163835,0.0597830039052
41601719,59.0,1.0,1,2,2,0.106050153146,0.066403580162
43859546,57.0,2.25,1,4,4,0.106270896316,0.0725842126409
44145380,50.2195121951,1.0,1,41,41,0.106840932519,0.0752649259996
22396848,21.5,1.25,1,4,4,0.109612039086,0.089483232493
15925358,98.8,1.0,1,5,5,0.110287018758,0.090375074109
13842059,47.0,1.0,1,9,9,0.111938258968,0.0687331407191
44191864,47.6,1.2,1,5,5,0.112888636401,0.090770505473
44044125,28.1923076923,1.21153846154,1,52,52,0.113871470742,0.0884123745473
44156284,112.333333333,1.0,1,9,9,0.115237137001,0.104769358071
1914041,28.0,1.0,1,15,15,0.115474689413,0.106128929991
43987776,60.0,1.0,1,2,2,0.11655883787,0.150890199175
35797102,25.375,1.125,1,8,8,0.118942541294,0.101386245449
44278209,64.825,1.05,1,40,40,0.119320703946,0.070468857475
44102552,31.7333333333,1.13333333333,1,15,15,0.12067605533,0.106716589569
40421145,43.4444444444,1.27777777778,1,18,18,0.122185685428,0.0960028567363
6309240,66.1071428571,1.28571428571,1,28,28,0.122875537826,0.0972797368974
43887314,72.7727272727,1.04545454545,1,22,22,0.123501359626,0.0644006786555
44263594,15.0,1.0,1,3,3,0.123891079149,0.10290817557
44244900,17.25,1.0,1,8,8,0.123912420648,0.0780141982926
42023252,107.555555556,1.22222222222,1,9,9,0.124862638808,0.097540976415
21613169,31.3103448276,1.0,1,29,29,0.126012641882,0.08210193567
44276053,187.7,1.9,1,10,10,0.126103453511,0.114785268497
44233968,86.0,1.0,1,13,13,0.127109555811,0.0942506976201
43584008,24.0,1.0,1,1,1,0.128753273989,0.110431526075
6342161,84.375,1.0,1,8,8,0.129771232952,0.0808012450894
4316379,22.1130434783,1.06956521739,1,115,115,0.131720485555,0.094413537508
44063920,57.4925373134,1.73134328358,1,67,67,0.131977663548,0.116332685612
44204154,34.58,1.06,1,50,50,0.136105714524,0.129278727642
18386513,97.0,1.75,1,12,12,0.141454120283,0.0956661896795
39013744,34.9736842105,1.0,1,38,38,0.141622027841,0.104695405002
39925494,44.75,1.25,1,4,4,0.143316968464,0.096755247549
44142811,16.8571428571,1.14285714286,1,49,49,0.144759099787,0.0998787687391
44147081,122.8,1.0,1,15,15,0.145504165617,0.0984174895501
