worker,worker-cosine,job,output.relations.count,duration,judgment,unit,worker-agreement,spam,wqs,wqs_initial
7265244,1.0,1,2.0,38.0,1,1,0.0,True,0.0,0.0
40703758,0.960450662757,1,1.0,139.25,4,4,0.0185185185185,False,0.000394500157063,0.00111398495977
18969291,0.910912919363,1,1.0,6.0,1,1,0.0714285714286,False,0.00152281470917,0.00636336290268
43332393,0.8624203552,1,1.0,126.333333333,3,3,0.0636288998358,False,0.0073330971288,0.0102185380567
25496660,0.7284685431,1,1.83333333333,14.6666666667,6,6,0.0803093203093,False,0.02290114835,0.038152239697
7348582,0.773866491567,1,1.0,50.5,2,2,0.1,False,0.0298853179409,0.0242285901893
36891115,0.798581513343,1,1.14035087719,66.1578947368,57,57,0.13387008633,False,0.03110024236,0.0287165578717
28526462,0.781782109764,1,1.0,53.0,1,1,0.142857142857,False,0.0312455633757,0.0311739843194
43611950,0.721797491416,1,1.8,22.4,5,5,0.112098214286,False,0.0385479326261,0.0502311079077
17950689,0.75298981042,1,1.0,119.179487179,39,39,0.135052071102,False,0.0408827497335,0.0387205768045
41127744,0.71916940531,1,1.13333333333,48.9666666667,30,30,0.163077745051,False,0.0510985163364,0.0560309590655
43498598,0.754584803602,1,1.66666666667,10.0,3,3,0.112801932367,False,0.0554005391634,0.046680140943
39531214,0.708062239419,1,2.13333333333,28.7,30,30,0.136859041415,False,0.0596875082835,0.0578602506082
11767390,0.648389700701,1,2.71428571429,13.7142857143,14,14,0.121530412946,False,0.0615733604838,0.0690723010241
43630454,0.718619779136,1,1.12871287129,55.099009901,101,101,0.152389441204,False,0.0650898871543,0.0507534624423
13197642,0.680927498541,1,1.73333333333,47.6666666667,15,15,0.196690625936,False,0.0694728387992,0.0598072865332
42693607,0.68734707716,1,1.11224489796,49.2959183673,98,98,0.145965525545,False,0.0793549001213,0.0637809839995
38479796,0.709841866319,1,1.01666666667,22.25,60,60,0.191393364525,False,0.0889001194018,0.0581057322973
43698588,0.694191459675,1,1.93333333333,74.0666666667,15,15,0.158656829282,False,0.0920676581551,0.0659987701
20483583,0.558861213963,1,1.25,49.5,4,4,0.228598484848,False,0.0981186270336,0.142691320233
43476716,0.6338531119,1,1.6,43.8666666667,30,30,0.154713050603,False,0.100708441196,0.0819592252069
19780901,0.447689564407,1,1.0,68.3333333333,3,3,0.267361111111,False,0.102916578901,0.172359240207
30188660,0.636765069235,1,1.0,37.0909090909,11,11,0.208421004061,False,0.113482508826,0.0807919003552
43680640,0.492907447163,1,2.0,72.0,1,1,0.166666666667,False,0.118180012068,0.12366587652
2044524,0.632342347375,1,1.26666666667,32.4333333333,30,30,0.248979202747,False,0.120457054733,0.103849713544
42609241,0.607033962279,1,1.10638297872,79.1276595745,47,47,0.24963129921,False,0.12291465919,0.110792607648
27597031,0.707702998624,1,1.08333333333,36.9166666667,12,12,0.138410446921,False,0.134907039113,0.0593410162812
39339973,0.56233459442,1,3.53846153846,38.2307692308,65,65,0.229166058989,False,0.137592994761,0.124879343514
39127197,0.634857953168,1,1.5,20.0,2,2,0.11,False,0.138586141484,0.0564812951998
6576528,0.590077245716,1,1.67816091954,42.4252873563,87,87,0.223302889139,False,0.148719954036,0.111600100237
11001780,0.581090801168,1,1.75,76.0,4,4,0.165873015873,False,0.152306338974,0.10215133303
39912464,0.577782423128,1,6.5,71.0,2,2,0.214191919192,False,0.165728942258,0.140859540523
42660466,0.516888215921,1,3.625,60.625,8,8,0.160209656085,False,0.176848139722,0.135440040717
36174227,0.569618821025,1,1.0,77.0,2,2,0.193137254902,False,0.177988188532,0.130371159991
14723284,0.606098631829,1,1.33333333333,28.4,30,30,0.197133757614,False,0.186214363064,0.0959438597759
26649250,0.514752520585,1,1.0,31.0,1,1,0.208333333333,False,0.186228018606,0.173229479727
43645733,0.574216940656,1,1.14285714286,42.4285714286,7,7,0.240555555556,False,0.191264904395,0.130690374174
43719192,0.500345849127,1,3.0,58.5384615385,26,26,0.248290947767,False,0.192941434172,0.174240434539
14555684,0.567642631513,1,1.06666666667,33.0666666667,15,15,0.227576027147,False,0.194585327799,0.124137332832
43398063,0.362207195857,1,6.0,98.0,1,1,0.142857142857,False,0.195227851624,0.212286290484
24992939,0.582111683261,1,1.16417910448,22.9850746269,67,67,0.249499313318,False,0.201435698711,0.124538801592
42687475,0.421894326492,1,5.0,90.25,4,4,0.190472516167,False,0.204212153612,0.189043407448
43527907,0.496005593962,1,6.5,53.0,2,2,0.177272727273,False,0.210985185765,0.183133887586
43534804,0.504914937576,1,1.06666666667,81.3333333333,15,15,0.266897197784,False,0.212428231568,0.176652614024
11145155,0.497424940324,1,3.0,28.4,10,10,0.236149140212,False,0.215967087451,0.163805238645
43709087,0.510759107683,1,1.13333333333,217.933333333,15,15,0.268742183742,False,0.224280974082,0.179734700808
