,duration,job,judgment,output.rellist.count,unit,wqs,wqs_initial
A03922113RU44GENR8ATX,100.6625,1,240,1.04583333333,240,0.624173439813,0.432349932531
A110KENBXU7SUJ,41.84,1,25,1.16,25,0.543122562841,0.369964064243
A12SMSQ6D5227J,88.5,1,2,1.0,2,0.0308065319042,0.0711294492161
A13I8ASC3JQ04P,53.9365079365,1,126,1.21428571429,126,0.653955801052,0.47734903141
A14WWG6NKBDWGP,54.0568720379,1,211,1.27488151659,211,0.558275676176,0.397144749057
A150CIC6SJN8JC,94.037037037,1,27,1.07407407407,27,0.738439582169,0.563081675889
A15NNYXDLCI2SR,90.68,1,125,1.072,125,0.592990948398,0.368327562173
A17D6BK59S31BM,127.25,1,4,2.75,4,0.604811376196,0.348339175548
A17J1CE7N49Z9D,23.5,1,2,1.0,2,0.0404382579907,0.0157384062784
A18G2CLYSTENK,66.7857142857,1,224,1.0,224,0.570149109021,0.412533720499
A19BMRBO5UAD6H,45.5625,1,16,1.125,16,0.497123617701,0.333440904265
A1BAEFJ2OG7NJ0,125.0,1,1,1.0,1,0.36227147299,0.415546663936
A1C59M3HPCO503,38.5,1,6,1.16666666667,6,0.76001426325,0.641181939334
A1CA46R2A6TV9W,21.5652173913,1,23,1.0,23,0.496458266226,0.315494636547
A1CYOGFBBYTW3G,97.0,1,1,2.0,1,0.0468919228862,0.0625
A1DABMXVWWL0TR,195.857142857,1,7,1.71428571429,7,0.524067315742,0.310658774641
A1DRFDGG2KCOI2,102.777777778,1,288,1.11111111111,288,0.477087088028,0.343112475661
A1DXFMUVK5015A,61.5,1,4,1.0,4,0.33743497796,0.112595665326
A1E235KE3CSO7H,171.0,1,1,3.0,1,0.276743118481,0.227670900631
A1EQ2HDHF2WWSY,24.5102040816,1,49,1.0,49,0.604046735005,0.432524879638
A1FGKIKJYSL1MI,42.6452702703,1,296,1.76689189189,296,0.664936614555,0.531220079245
A1G94QON7A9K0N,76.6271676301,1,346,1.50867052023,346,0.653550616059,0.504492474039
A1GKEEI844CEKI,70.9931034483,1,145,1.91724137931,145,0.401485069747,0.28466157683
A1I9U0HRRM0E6C,64.2666666667,1,15,1.46666666667,15,0.866766839158,0.781460282709
A1IFIK8J49WBER,111.0,1,6,2.16666666667,6,0.536166142403,0.464108030238
A1L3937MY09J3I,63.0,1,1,3.0,1,0.446667460058,0.300835251979
A1LUWOV426JV1N,196.272727273,1,11,1.18181818182,11,0.590450403497,0.267493219846
A1NEHADW7ODHQT,195.0,1,1,1.0,1,0.0,0.0
A1P7U2ULSAE7YL,321.0,1,2,3.5,2,0.411319996346,0.321543825261
