worker,duration,job,judgment,unit,wqs,wwa,wsa,wqs_initial,wwa_initial,wsa_initial
3587109,25.3333333333,1,3,3,0.514862631315,0.716288803267,0.718791957891,0.477969829108,0.690476190476,0.692232166295
4316379,30.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
4688131,136.0,1,1,1,1.0,1.0,1.0,0.925836307966,0.928571428571,0.997054485502
4711962,35.0,1,1,1,0.000530034180477,0.0225329030776,0.0235226760907,0.00547832134891,0.0714285714286,0.0766964988847
6336109,122.0,1,1,1,1.0,1.0,1.0,0.925836307966,0.928571428571,0.997054485502
6344072,86.75,1,4,4,0.979497956209,0.980454598232,0.99902428728,0.942512346851,0.946428571429,0.995862102333
6744840,93.0,1,1,1,0.977810802712,0.9780669056,0.99973815402,0.845480506142,0.857142857143,0.986393923832
7051387,66.3333333333,1,3,3,0.858503813619,0.900925496877,0.952913217125,0.705440660838,0.785714285714,0.89783356834
7385617,41.0,1,1,1,0.977810802712,0.9780669056,0.99973815402,0.845480506142,0.857142857143,0.986393923832
8108990,100.0,1,4,4,0.979497956209,0.980454598232,0.99902428728,0.942512346851,0.946428571429,0.995862102333
8715359,63.0,1,2,2,0.989218479803,0.989345376885,0.999871736316,0.922254321779,0.928571428571,0.993196961916
10959404,86.0,1,1,1,0.977810802712,0.9780669056,0.99973815402,0.845480506142,0.857142857143,0.986393923832
11598752,117.5,1,2,2,0.801871620185,0.868111212781,0.923696881666,0.640165042945,0.75,0.853553390593
13300986,60.0,1,2,2,1.0,1.0,1.0,0.925836307966,0.928571428571,0.997054485502
13581319,16.0,1,1,1,0.000427103320831,0.0202500662998,0.0210914529616,0.00547832134891,0.0714285714286,0.0766964988847
16844474,68.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
16854635,125.333333333,1,3,3,0.972459471683,0.973742789142,0.998682077574,0.948061563121,0.952380952381,0.995464641277
17950689,159.666666667,1,3,3,0.263534786738,0.501575481749,0.525414013099,0.279449416481,0.5,0.558898832962
18531561,71.6666666667,1,3,3,0.789864318116,0.869163381206,0.908763916192,0.65686194891,0.761904761905,0.862131307944
18666417,204.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
18672993,26.0,1,1,1,0.977810802712,0.9780669056,0.99973815402,0.845480506142,0.857142857143,0.986393923832
18960682,41.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
20929875,33.0,1,1,1,0.977810802712,0.9780669056,0.99973815402,0.845480506142,0.857142857143,0.986393923832
21457135,37.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
21490235,140.75,1,4,4,0.979497956209,0.980454598232,0.99902428728,0.942512346851,0.946428571429,0.995862102333
21665495,34.75,1,4,4,0.979497956209,0.980454598232,0.99902428728,0.942512346851,0.946428571429,0.995862102333
21865639,25.0,1,1,1,0.977810802712,0.9780669056,0.99973815402,0.845480506142,0.857142857143,0.986393923832
23503585,293.666666667,1,3,3,0.809380910836,0.889111707086,0.910325333011,0.701587301587,0.809523809524,0.866666666667
24043308,283.0,1,2,2,0.262981971642,0.514503995495,0.511136889012,0.288400847916,0.535714285714,0.538348249442
24403612,51.0,1,4,4,0.979649262642,0.980606076661,0.999024262604,0.924045314872,0.928571428571,0.995125723709
24636399,137.5,1,2,2,1.0,1.0,1.0,1.0,1.0,1.0
25486037,123.0,1,1,1,1.0,1.0,1.0,0.925836307966,0.928571428571,0.997054485502
26492726,41.25,1,4,4,0.619911081838,0.784405765179,0.790293887879,0.562067072613,0.732142857143,0.767701367472
26531841,91.0,1,2,2,1.0,1.0,1.0,0.925836307966,0.928571428571,0.997054485502
26770238,62.0,1,1,1,1.0,1.0,1.0,0.925836307966,0.928571428571,0.997054485502
27934334,34.0,1,1,1,0.977810802712,0.9780669056,0.99973815402,0.845480506142,0.857142857143,0.986393923832
28103910,48.0,1,1,1,0.977810802712,0.9780669056,0.99973815402,0.845480506142,0.857142857143,0.986393923832
28301350,32.3333333333,1,3,3,0.875739295495,0.918180308839,0.953777038197,0.751974105885,0.833333333333,0.902368927062
28351359,32.0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
