orig_id,gold,text,event1,event2,uqs,uqs_initial,before,after,before_initial,after_initial
100_1,before,,,,0.7201886939587304,0.5333333333333333,0.8563500491450646,0.14364995085493534,0.7,0.3
102_0,after,,,,0.6131056360875973,0.5333333333333333,0.21763959670328728,0.7823604032967126,0.3,0.7
102_1,before,,,,0.7002503106062312,0.5333333333333333,0.8434191204702203,0.15658087952977987,0.7,0.3
103_1,before,,,,0.7002503106062312,0.5333333333333333,0.8434191204702203,0.15658087952977987,0.7,0.3
103_11,before,,,,0.7850053492640459,0.6444444444444445,0.8940582086446617,0.1059417913553386,0.8,0.2
103_13,after,,,,0.9067010737129804,0.8,0.043056609892053635,0.9569433901079464,0.1,0.9
103_14,before,,,,0.7002503106062312,0.5333333333333333,0.8434191204702203,0.15658087952977987,0.7,0.3
103_15,before,,,,0.7002503106062312,0.5333333333333333,0.8434191204702203,0.15658087952977987,0.7,0.3
103_2,before,,,,0.7969179300564294,0.6444444444444445,0.9006831777691724,0.09931682223082773,0.8,0.2
103_5,before,,,,0.4454102819126079,0.4666666666666667,0.4265963963169145,0.5734036036830856,0.4,0.6
103_6,before,,,,0.44280958407598636,0.4444444444444444,0.5654471274775852,0.43455287252241487,0.5,0.5
103_7,before,,,,0.7002503106062312,0.5333333333333333,0.8434191204702203,0.15658087952977987,0.7,0.3
106_0,before,,,,0.7126927786793754,0.5333333333333333,0.8514333344602469,0.14856666553975323,0.7,0.3
106_4,after,,,,0.9112143352602278,0.8,0.040852861347555336,0.9591471386524447,0.1,0.9
106_7,after,,,,0.9112143352602278,0.8,0.040852861347555336,0.9591471386524447,0.1,0.9
106_9,after,,,,0.5439237095890629,0.4666666666666667,0.7215305716717824,0.27846942832821786,0.6,0.4
107_0,after,,,,0.9112143352602278,0.8,0.040852861347555336,0.9591471386524447,0.1,0.9
107_1,after,,,,0.5095762540775717,0.5333333333333333,0.31606236742248467,0.6839376325775155,0.3,0.7
107_2,after,,,,0.9112143352602278,0.8,0.040852861347555336,0.9591471386524447,0.1,0.9
107_6,before,,,,0.7126927786793754,0.5333333333333333,0.8514333344602469,0.14856666553975323,0.7,0.3
107_7,before,,,,0.7126927786793754,0.5333333333333333,0.8514333344602469,0.14856666553975323,0.7,0.3
108_1,before,,,,0.7126927786793754,0.5333333333333333,0.8514333344602469,0.14856666553975323,0.7,0.3
108_2,after,,,,0.6017555840803932,0.5333333333333333,0.2270893225260788,0.7729106774739213,0.3,0.7
108_3,after,,,,0.606413961789054,0.5333333333333333,0.22335545681943816,0.7766445431805619,0.3,0.7
108_5,after,,,,0.8060083372192959,0.6444444444444445,0.0945064725434983,0.9054935274565017,0.2,0.8
108_6,after,,,,0.8060083372192959,0.6444444444444445,0.0945064725434983,0.9054935274565017,0.2,0.8
108_7,after,,,,0.8060083372192959,0.6444444444444445,0.0945064725434983,0.9054935274565017,0.2,0.8
10_2,after,"<p>Ratners Group PLC's U.S. subsidiary has agreed to <b><u><font color=""blue"">acquire</font></u></b> jewelry retailer Weisfield's Inc. for $50 a share, or about $55 million. <br></br>Weisfield's shares <b><u><font color=""green"">soared</font></u></b> on the announcement yesterday, closing up $11 to <b><u><font color=""orange"">close</font></u></b> at $50 in national over-the-counter trading. <br></br>Ratners and Weisfield's <b><u><font color=""red"">said</font></u></b> they <b><u><font color=""purple"">reached</font></u></b> an agreement in principle for the acquisition of Weisfield's by Sterling Inc. <br></br>The companies <b><u><font color=""brown"">said</font></u></b> the acquisition is subject to a definitive agreement. <br></br>They said they expect the transaction to be completed by Dec. 15. <br></br>Weisfield's, based in Seattle, Wash., currently operates 87 specialty jewelry stores in nine states. <br></br>In the fiscal year ended Jan. 31, the company reported sales of $59.5 million and pretax profit of $2.9 million. <br></br>Ratners, which controls 25%: of the British jewelry market, would increase the number of its U.S. stores to about 450 stores from 360. <br></br>It has said it hopes to control 5%: of jewelry business in the U.S. by 1992; currently it controls about 2%:. <br></br></p>","<font color=""blue"">acquire</font>","<font color=""red"">said</font>",1.0,1.0,0.0,1.0,0.0,1.0
10_3,after,"<p>Ratners Group PLC's U.S. subsidiary has agreed to <b><u><font color=""blue"">acquire</font></u></b> jewelry retailer Weisfield's Inc. for $50 a share, or about $55 million. <br></br>Weisfield's shares <b><u><font color=""green"">soared</font></u></b> on the announcement yesterday, closing up $11 to <b><u><font color=""orange"">close</font></u></b> at $50 in national over-the-counter trading. <br></br>Ratners and Weisfield's <b><u><font color=""red"">said</font></u></b> they <b><u><font color=""purple"">reached</font></u></b> an agreement in principle for the acquisition of Weisfield's by Sterling Inc. <br></br>The companies <b><u><font color=""brown"">said</font></u></b> the acquisition is subject to a definitive agreement. <br></br>They said they expect the transaction to be completed by Dec. 15. <br></br>Weisfield's, based in Seattle, Wash., currently operates 87 specialty jewelry stores in nine states. <br></br>In the fiscal year ended Jan. 31, the company reported sales of $59.5 million and pretax profit of $2.9 million. <br></br>Ratners, which controls 25%: of the British jewelry market, would increase the number of its U.S. stores to about 450 stores from 360. <br></br>It has said it hopes to control 5%: of jewelry business in the U.S. by 1992; currently it controls about 2%:. <br></br></p>","<font color=""blue"">acquire</font>","<font color=""purple"">reached</font>",1.0,1.0,0.0,1.0,0.0,1.0
10_5,before,"<p>Ratners Group PLC's U.S. subsidiary has agreed to <b><u><font color=""blue"">acquire</font></u></b> jewelry retailer Weisfield's Inc. for $50 a share, or about $55 million. <br></br>Weisfield's shares <b><u><font color=""green"">soared</font></u></b> on the announcement yesterday, closing up $11 to <b><u><font color=""orange"">close</font></u></b> at $50 in national over-the-counter trading. <br></br>Ratners and Weisfield's <b><u><font color=""red"">said</font></u></b> they <b><u><font color=""purple"">reached</font></u></b> an agreement in principle for the acquisition of Weisfield's by Sterling Inc. <br></br>The companies <b><u><font color=""brown"">said</font></u></b> the acquisition is subject to a definitive agreement. <br></br>They said they expect the transaction to be completed by Dec. 15. <br></br>Weisfield's, based in Seattle, Wash., currently operates 87 specialty jewelry stores in nine states. <br></br>In the fiscal year ended Jan. 31, the company reported sales of $59.5 million and pretax profit of $2.9 million. <br></br>Ratners, which controls 25%: of the British jewelry market, would increase the number of its U.S. stores to about 450 stores from 360. <br></br>It has said it hopes to control 5%: of jewelry business in the U.S. by 1992; currently it controls about 2%:. <br></br></p>","<font color=""green"">soared</font>","<font color=""orange"">close</font>",0.7322680879995186,0.5333333333333333,0.8625342528713831,0.1374657471286168,0.7,0.3
