unit,videolocation,subtitles,imagetags,subtitletags,uqs,uqs_initial,archeologist,architect,artist,astronaut,athlete,businessperson,celebrity,chef,criminal,engineer,farmer,fictionalcharacter,journalist,judge,lawyer,militaryperson,model,monarch,philosopher,politician,presenter,producer,psychologist,scientist,sportsmanager,writer,none,other,archeologist_initial_initial,architect_initial,artist_initial,astronaut_initial,athlete_initial,businessperson_initial,celebrity_initial,chef_initial,criminal_initial,engineer_initial,farmer_initial,fictionalcharacter_initial,journalist_initial,judge_initial,lawyer_initial,militaryperson_initial,model_initial,monarch_initial,philosopher_initial,politician_initial,presenter_initial,producer_initial,psychologist_initial,scientist_initial,sportsmanager_initial,writer_initial,none_initial,other_initial
1856509899,https://joran.org/ct/entity.admin.unit.2649/8559.mp4,Italian astronaut samantha cristoforetti uploads a strange photograph she's taken,industry__c0_###_grinder__c1_###_production__c2_###_technology__c3_###_equipment__c4_###_central processing unit__i0_###_hardware__i1_###_technology__i2_###_business__i3_###_computer__i4_###_,Italian__0_###_astronaut__1_###_samantha__2_###_strange__3_###_photograph__4_###_,0.9194612759618217,0.8659632030999544,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053738371540478724,0.0,0.0,0.16910975889303773,0.0,0.0,0.0,0.04913521115993079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509900,https://joran.org/ct/entity.admin.unit.2649/8561.mp4,this phenomena is it's massive the,man__c0_###_soccer__c1_###_portrait__c2_###_people__c3_###_business__c4_###_male__i0_###_man__i1_###_portrait__i2_###_person__i3_###_face__i4_###_,phenomena__0_###_massive__1_###_,0.2909024141149356,0.23917594569612932,0.05428357541108762,0.0,0.0,0.0,0.0,0.0,0.007285683902434044,0.0,0.0,0.0,0.0,0.003195484267705282,0.06966766791271392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06966766791271392,0.003195484267705282,0.003195484267705282,0.24612111859216143,0.0,0.003195484267705282,0.20577143352524466,0.5129405165051204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509901,https://joran.org/ct/entity.admin.unit.2649/8563.mp4,around could the lights be coming from,people__c0_###_man__c1_###_adult__c2_###_portrait__c3_###_one__c4_###_man__i0_###_male__i1_###_adult__i2_###_person__i3_###_people__i4_###_,lights__0_###_coming__1_###_,0.2951468750659432,0.21649457551154735,0.0,0.0,0.00613916749249373,0.0,0.0,0.006116499220255471,0.00613916749249373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02378993728994873,0.0,0.08146908692815534,0.056733043509090975,0.0,0.4462041310085751,0.0,0.0,0.32695541464945976,0.24847399997747394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509902,https://joran.org/ct/entity.admin.unit.2649/8565.mp4,when investigators map the coordinates onto local charts they realized the lights form a pattern that exactly matches the territorial waters of the Falkland Islands this is the smoking gun,water__c0_###_no person__c1_###_ocean__c2_###_nature__c3_###_sea__c4_###_ocean__i0_###_sea__i1_###_water__i2_###_grey whale__i3_###_wave__i4_###_,investigators__0_###_map__1_###_coordinates__2_###_local__3_###_realized__4_###_lights__5_###_matches__6_###_territorial waters__7_###_Falkland Islands__8_###_smoking gun__9_###_,0.5528693761542081,0.3340782828113311,0.0,0.0,0.0,0.0,0.0,0.0030608021961313413,0.0,0.0,0.0,0.0,0.0,0.0,0.026699045851841702,0.0,0.0,0.0,0.0,0.0,0.0068644440354767656,0.0,0.028350334723753097,0.0030608021961313413,0.0,0.15804046047341153,0.0,0.0,0.7431218367110191,0.06668372625247093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509903,https://joran.org/ct/entity.admin.unit.2649/8570.mp4,the bright lights are part of a,sky__c0_###_no person__c1_###_power__c2_###_electricity__c3_###_energy__c4_###_wire__i0_###_crane__i1_###_sky__i2_###_power__i3_###_cable__i4_###_,bright lights__0_###_,0.9638423128230821,0.5578947368421052,0.00010369829121803017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00357733008126644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004976006750241188,0.0,0.00357733008126644,0.9830831242894291,0.00825984058784538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509904,https://joran.org/ct/entity.admin.unit.2649/8574.mp4,bright lights certain species will be attracted to the surface the plankton comes to the surface the smaller fish go after the plankton the larger fish go after the smaller fish the squid go after the even larger fish sounds,seafood__c0_###_fish__c1_###_food__c2_###_no person__c3_###_nature__c4_###_fish__i0_###_close__i1_###_black__i2_###_design__i3_###_color__i4_###_,bright lights__0_###_species__1_###_attracted__2_###_surface__3_###_plankton__4_###_surface__5_###_fish__6_###_plankton__7_###_fish__8_###_fish__9_###_squid__10_###_fish__11_###_sounds__12_###_,0.3218858119802462,0.28723126306733937,0.0,0.0,0.0,0.0,0.0,0.10968963150288276,0.0,0.0,0.0,0.0,0.04667851433665513,0.0,0.06494800841622554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16391633423127205,0.0,0.0,0.5410026705617363,0.0,0.0,0.0,0.3026291835987258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509905,https://joran.org/ct/entity.admin.unit.2649/8576.mp4,thousands of unlicensed unregulated fishermen out there just stripping the,portrait__c0_###_people__c1_###_man__c2_###_adult__c3_###_one__c4_###_man__i0_###_businessman__i1_###_male__i2_###_business__i3_###_suit__i4_###_,fishermen__0_###_stripping__1_###_,0.14627794907232683,0.11625413183671357,0.0,3.395371417229443e-05,0.005696670688424702,3.395371417229443e-05,3.395371417229443e-05,0.10163406871362902,0.0,0.0,0.0,0.0,0.0,0.0,0.14534325083723282,0.0,0.02078517719655279,0.0,0.0,0.0,0.005641807948698452,0.03781678033568677,0.14493023261166396,0.0,0.0,0.2291991587981528,0.0,0.0,0.21943896131257376,0.28844109454744976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509906,https://joran.org/ct/entity.admin.unit.2649/8578.mp4,illegal fishing in this area is big business one night's catch of squid can net up to 72 thousand dollars these,people__c0_###_one__c1_###_vehicle__c2_###_water__c3_###_adult__c4_###_ganoid__i0_###_summer__i1_###_water__i2_###_gar__i3_###_syringe__i4_###_,illegal fishing__0_###_area__1_###_big business__2_###_night__3_###_catch__4_###_squid__5_###_net__6_###_dollars__7_###_,0.4279944882324654,0.3356323142053457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19575520139814562,0.005796050382840686,0.005817531044123172,0.0,0.053760748871124635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07511417588298946,0.0,0.0,0.0,0.0,0.0,0.1871079880657658,0.6601805167672911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509907,https://joran.org/ct/entity.admin.unit.2649/8580.mp4,fishing boats were caught in the area one was sunk without Christopher Eddie's,no person__c0_###_vehicle__c1_###_water__c2_###_light__c3_###_evening__c4_###_sky__i0_###_water__i1_###_landscape__i2_###_liquid__i3_###_swimmer__i4_###_,fishing boats__0_###_area__1_###_Christopher__2_###_Eddie__3_###_,0.3800989173021214,0.29191632429019865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152496599124687,0.0,0.0,0.0,0.05340935562950675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07462321148406986,0.0,0.0,0.0,0.0,0.0,0.5843845075181097,0.24190503750264036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1856509908,https://joran.org/ct/entity.admin.unit.2649/8583.mp4,enterprise might never have been,Christmas__c0_###_light__c1_###_abstract__c2_###_blur__c3_###_shining__c4_###_star__i0_###_space__i1_###_stars__i2_###_light__i3_###_design__i4_###_,enterprise__0_###_,0.9985288462365683,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006963646339910917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993036353660087,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
