,output.relations,aqs,aqs_initial
alternate_names,150,1e-08,1e-08
cause_of_death,150,1e-08,1e-08
charges,150,1e-08,1e-08
children,150,1e-08,1e-08
employee_or_member_of,150,0.248137168368,0.249240121581
founded_org,150,1e-08,1e-08
none,150,0.838371858268,0.605691056911
origin,150,0.234005885279,0.237179487179
place_of_birth,150,0.694388915554,0.579439252336
place_of_death,150,0.00370611328581,0.107142857143
place_of_headquarters,150,0.158468654582,0.0952380952381
places_of_residence,150,0.778707907488,0.676755447942
schools_attended,150,1e-08,1e-08
spouse,150,1e-08,1e-08
subsidiaries,150,1e-08,1e-08
title,150,1e-08,1e-08
top_member_employee_of_org,150,0.944476329146,0.795133437991
