unit,duration,input.ctunitid,input.subtitles,input.videolocation,job,output.taggedinsubtitles,output.taggedinsubtitles.annotations,output.taggedinsubtitles.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial
1856663376,42.65,entity/admin/unit/8559,Italian astronaut samantha cristoforetti uploads strange photograph taken,https://joran.org/ct/entity.admin.unit.2649/8559.mp4,../data/person-video-highlight,"Counter({'astronaut': 20, 'samantha': 15, 'cristoforetti': 14, 'Italian': 12, 'photograph': 8, 'strange': 5, 'uploads': 4})",78,7,20,0.694033512217,"Counter({'astronaut': 1.0, 'samantha': 0.7703220644685707, 'cristoforetti': 0.7407920864451254, 'Italian': 0.6739971920589534, 'photograph': 0.5545909866209136, 'strange': 0.3684739736984678, 'uploads': 0.30899977601678985})",0.683850322935,"Counter({'astronaut': 1.0, 'samantha': 0.75, 'cristoforetti': 0.7, 'Italian': 0.6, 'photograph': 0.4, 'strange': 0.25, 'uploads': 0.2})"
1856663377,33.5,entity/admin/unit/8561,phenomena massive,https://joran.org/ct/entity.admin.unit.2649/8561.mp4,../data/person-video-highlight,"Counter({'\xe2\x80\x9cno_highlight\xe2\x80\x9d': 10, 'phenomena': 8, 'massive': 6})",24,3,20,0.397849997616,"Counter({'phenomena': 0.5149880348939145, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.4105236231599552, 'massive': 0.36001462137976425})",0.394581909203,"Counter({'\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.5, 'phenomena': 0.4, 'massive': 0.3})"
1856663378,23.65,entity/admin/unit/8563,around could lights coming,https://joran.org/ct/entity.admin.unit.2649/8563.mp4,../data/person-video-highlight,"Counter({'\xe2\x80\x9cno_highlight\xe2\x80\x9d': 10, 'lights': 9, 'around': 3, 'coming': 1})",23,4,20,0.404184537955,"Counter({'lights': 0.5894745629559055, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.37015718550558785, 'around': 0.2180990109478751, 'coming': 0.040368251538506573})",0.398568010849,"Counter({'\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.5, 'lights': 0.45, 'around': 0.15, 'coming': 0.05})"
1856663379,30.4,entity/admin/unit/8565,investigators map coordinates onto local charts realized lights form pattern exactly matches territorial waters Falkland Islands smoking gun,https://joran.org/ct/entity.admin.unit.2649/8565.mp4,../data/person-video-highlight,"Counter({'investigators': 15, 'Islands': 8, 'Falkland': 7, 'map': 6, 'pattern': 6, 'realized': 5, 'waters': 5, 'coordinates': 5, 'matches': 4, 'territorial': 4, 'charts': 3, 'local': 3, 'lights': 3, 'form': 2, 'exactly': 2, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 2, 'onto': 2})",82,17,20,0.405174783977,"Counter({'investigators': 0.768753327653424, 'Islands': 0.5520743473494161, 'Falkland': 0.47423820569386715, 'map': 0.410145008489884, 'pattern': 0.40813964254065127, 'coordinates': 0.3511693713941522, 'waters': 0.3428015149272994, 'realized': 0.338835829598193, 'matches': 0.2790088320959646, 'territorial': 0.2790088320959646, 'lights': 0.21666947686490035, 'charts': 0.1975321373036083, 'local': 0.1975321373036083, 'form': 0.13519278207254404, 'exactly': 0.13519278207254404, 'onto': 0.13519278207254404, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.04583848281579677})",0.394691955721,"Counter({'investigators': 0.75, 'Islands': 0.4, 'Falkland': 0.35, 'map': 0.3, 'pattern': 0.3, 'realized': 0.25, 'waters': 0.25, 'coordinates': 0.25, 'matches': 0.2, 'territorial': 0.2, 'charts': 0.15, 'local': 0.15, 'lights': 0.15, 'form': 0.1, 'exactly': 0.1, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.1, 'onto': 0.1})"
1856663380,50.0,entity/admin/unit/8570,bright lights part,https://joran.org/ct/entity.admin.unit.2649/8570.mp4,../data/person-video-highlight,"Counter({'lights': 10, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 10, 'bright': 7})",27,3,20,0.443635306346,"Counter({'lights': 0.5737401491986232, 'bright': 0.4276237844693144, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.42625985080137685})",0.441311802131,"Counter({'lights': 0.5, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.5, 'bright': 0.35})"
1856663381,87.45,entity/admin/unit/8574,bright lights certain species attracted surface plankton comes surface smaller fish go plankton larger fish go smaller fish squid go even larger fish sounds,https://joran.org/ct/entity.admin.unit.2649/8574.mp4,../data/person-video-highlight,"Counter({'fish': 18, 'plankton': 13, 'surface': 11, 'lights': 10, 'go': 9, 'smaller': 8, 'bright': 8, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 8, 'species': 8, 'squid': 6, 'comes': 6, 'certain': 5, 'attracted': 5, 'larger': 5, 'even': 1})",121,15,20,0.328841458678,"Counter({'fish': 1.1845127578969488, 'plankton': 0.888121761481394, 'surface': 0.7568326896556904, 'go': 0.6790154063037025, 'lights': 0.6146878841253309, 'smaller': 0.5860739926455444, 'bright': 0.510044761775937, 'species': 0.49796889701684593, 'comes': 0.4137733401688809, 'squid': 0.38550554462403325, 'larger': 0.3731612765618226, 'certain': 0.3475907282930712, 'attracted': 0.3475907282930712, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.2992979380719893, 'even': 0.0785765332018654})",0.316720411038,"Counter({'fish': 0.9, 'plankton': 0.65, 'surface': 0.55, 'lights': 0.5, 'go': 0.45, 'smaller': 0.4, 'bright': 0.4, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.4, 'species': 0.4, 'squid': 0.3, 'comes': 0.3, 'certain': 0.25, 'attracted': 0.25, 'larger': 0.25, 'even': 0.05})"
1856663382,36.1,entity/admin/unit/8576,thousands unlicensed unregulated fishermen stripping,https://joran.org/ct/entity.admin.unit.2649/8576.mp4,../data/person-video-highlight,"Counter({'fishermen': 14, 'unregulated': 10, 'unlicensed': 9, 'thousands': 5, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 2, 'stripping': 1})",41,6,20,0.528957727416,"Counter({'fishermen': 0.7199027642496251, 'unregulated': 0.6277509821156072, 'unlicensed': 0.5619817689534622, 'thousands': 0.3416773272813792, 'stripping': 0.059364744433384416, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.0307036842937045})",0.458316022564,"Counter({'fishermen': 0.7, 'unregulated': 0.5, 'unlicensed': 0.45, 'thousands': 0.25, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.1, 'stripping': 0.05})"
1856663383,43.0,entity/admin/unit/8578,illegal fishing area big business one night catch squid net 72 thousand dollars,https://joran.org/ct/entity.admin.unit.2649/8578.mp4,../data/person-video-highlight,"Counter({'fishing': 12, 'squid': 9, 'illegal': 9, 'business': 8, 'big': 7, 'night': 7, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 6, 'catch': 6, 'area': 4, 'thousand': 4, 'dollars': 4, '72': 4, 'one': 3, 'net': 3})",86,14,20,0.38258395969,"Counter({'fishing': 0.7132175586312807, 'squid': 0.58245181707034, 'illegal': 0.5579558512883556, 'business': 0.5428338335402538, 'big': 0.4786202616401342, 'night': 0.47111797028316915, 'catch': 0.39982453636468673, 'thousand': 0.28084966653514526, 'dollars': 0.28084966653514526, '72': 0.28084966653514526, 'area': 0.26668581436760824, 'one': 0.1988354077358087, 'net': 0.1988354077358087, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.15567295516137064})",0.317045019194,"Counter({'fishing': 0.6, 'squid': 0.45, 'illegal': 0.45, 'business': 0.4, 'big': 0.35, 'night': 0.35, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.3, 'catch': 0.3, 'area': 0.2, 'thousand': 0.2, 'dollars': 0.2, '72': 0.2, 'one': 0.15, 'net': 0.15})"
1856663384,31.1,entity/admin/unit/8580,fishing boats caught area one sunk without Christopher Eddie,https://joran.org/ct/entity.admin.unit.2649/8580.mp4,../data/person-video-highlight,"Counter({'boats': 10, 'fishing': 8, 'Christopher': 6, 'Eddie': 5, 'area': 4, 'caught': 4, 'sunk': 4, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 4, 'one': 2})",47,9,20,0.330530235173,"Counter({'boats': 0.662111200465365, 'fishing': 0.5315101382462953, 'caught': 0.2907356484573345, 'sunk': 0.2838682241100201, 'area': 0.27293496155811764, 'Christopher': 0.22470226683955707, 'Eddie': 0.19354547023396412, 'one': 0.13608475214853852, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.11318653269507783})",0.262690655187,"Counter({'boats': 0.5, 'fishing': 0.4, 'Christopher': 0.3, 'Eddie': 0.25, 'area': 0.2, 'caught': 0.2, 'sunk': 0.2, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.2, 'one': 0.1})"
1856663385,37.2,entity/admin/unit/8583,enterprise might never,https://joran.org/ct/entity.admin.unit.2649/8583.mp4,../data/person-video-highlight,"Counter({'enterprise': 11, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 6, 'might': 5, 'never': 5, 'NONE': 1})",28,5,20,0.394558909266,"Counter({'enterprise': 0.6611007552586868, 'never': 0.3390057270122113, 'might': 0.3220856091248276, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.23287800763173072, 'NONE': 0.03409938769245805})",0.330445314162,"Counter({'enterprise': 0.55, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.3, 'might': 0.25, 'never': 0.25, 'NONE': 0.05})"
