unit,duration,input.ctunitid,input.subtitles,input.videolocation,job,output.taggedinsubtitles,output.taggedinsubtitles.annotations,output.taggedinsubtitles.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial
1856663376,42.65,entity/admin/unit/8559,Italian astronaut samantha cristoforetti uploads a strange photograph she's taken,https://joran.org/ct/entity.admin.unit.2649/8559.mp4,../data/person-video-highlight,"Counter({'astronaut': 20, 'samantha': 15, 'cristoforetti': 14, 'Italian': 12, ""she's"": 9, 'photograph': 8, 'strange': 5, 'a': 4, 'uploads': 4})",91,9,20,0.650241789306,"Counter({'astronaut': 1.0, 'samantha': 0.7786837211295878, 'cristoforetti': 0.7450121941044064, 'Italian': 0.6807774828062213, 'photograph': 0.5323477483732346, ""she's"": 0.44507145050159175, 'strange': 0.3536636630472537, 'a': 0.29606475768390794, 'uploads': 0.29606475768390794})",0.637762818997,"Counter({'astronaut': 1.0, 'samantha': 0.75, 'cristoforetti': 0.7, 'Italian': 0.6, ""she's"": 0.45, 'photograph': 0.4, 'strange': 0.25, 'a': 0.2, 'uploads': 0.2})"
1856663377,33.5,entity/admin/unit/8561,this phenomena is it's massive the,https://joran.org/ct/entity.admin.unit.2649/8561.mp4,../data/person-video-highlight,"Counter({'\xe2\x80\x9cno_highlight\xe2\x80\x9d': 10, 'phenomena': 8, 'massive': 6, 'is': 3, 'this': 2, ""it's"": 2, 'the': 1})",32,7,20,0.351644637192,"Counter({'phenomena': 0.49516271470525425, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.43165097767053623, 'massive': 0.3452870940661461, 'is': 0.2035130983160375, 'this': 0.14375818044072988, ""it's"": 0.14375818044072988, 'the': 0.06726097569118586})",0.36452837042,"Counter({'\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.5, 'phenomena': 0.4, 'massive': 0.3, 'is': 0.15, 'this': 0.1, ""it's"": 0.1, 'the': 0.05})"
1856663378,23.65,entity/admin/unit/8563,around could the lights be coming from,https://joran.org/ct/entity.admin.unit.2649/8563.mp4,../data/person-video-highlight,"Counter({'\xe2\x80\x9cno_highlight\xe2\x80\x9d': 10, 'lights': 9, 'around': 3, 'from': 1, 'coming': 1, 'the': 1})",25,6,20,0.384805532131,"Counter({'lights': 0.5601933345006559, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.394487922529844, 'around': 0.21098458729366293, 'the': 0.06172161405787286, 'from': 0.04531874296950025, 'coming': 0.04531874296950025})",0.392538821849,"Counter({'\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.5, 'lights': 0.45, 'around': 0.15, 'from': 0.05, 'coming': 0.05, 'the': 0.05})"
1856663379,30.4,entity/admin/unit/8565,when investigators map the coordinates onto local charts they realized the lights form a pattern that exactly matches the territorial waters of the Falkland Islands this is the smoking gun,https://joran.org/ct/entity.admin.unit.2649/8565.mp4,../data/person-video-highlight,"Counter({'investigators': 15, 'the': 12, 'they': 8, 'Islands': 8, 'Falkland': 7, 'pattern': 6, 'map': 6, 'coordinates': 5, 'waters': 5, 'realized': 5, 'territorial': 4, 'matches': 4, 'when': 3, 'charts': 3, 'lights': 3, 'local': 3, 'of': 3, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 2, 'form': 2, 'that': 2, 'exactly': 2, 'a': 2, 'onto': 2})",112,23,20,0.34939104699,"Counter({'the': 0.7950875738654084, 'investigators': 0.7735081606791675, 'Islands': 0.5293218551900973, 'Falkland': 0.4553603792931398, 'they': 0.444335043756748, 'map': 0.40750557982168606, 'pattern': 0.38939637118506193, 'coordinates': 0.34398648308060326, 'realized': 0.33813052912075336, 'waters': 0.3286585614609779, 'territorial': 0.2708149581208539, 'matches': 0.2708149581208539, 'lights': 0.21115259322739277, 'when': 0.20890376351606826, 'charts': 0.19539460344978005, 'local': 0.19539460344978005, 'of': 0.19539460344978005, 'form': 0.13573223855631894, 'that': 0.13573223855631894, 'exactly': 0.13573223855631894, 'a': 0.13573223855631894, 'onto': 0.13573223855631894, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.055455578214834766})",0.339953150072,"Counter({'investigators': 0.75, 'the': 0.6, 'they': 0.4, 'Islands': 0.4, 'Falkland': 0.35, 'pattern': 0.3, 'map': 0.3, 'coordinates': 0.25, 'waters': 0.25, 'realized': 0.25, 'territorial': 0.2, 'matches': 0.2, 'when': 0.15, 'charts': 0.15, 'lights': 0.15, 'local': 0.15, 'of': 0.15, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.1, 'form': 0.1, 'that': 0.1, 'exactly': 0.1, 'a': 0.1, 'onto': 0.1})"
1856663380,50.0,entity/admin/unit/8570,the bright lights are part of a,https://joran.org/ct/entity.admin.unit.2649/8570.mp4,../data/person-video-highlight,"Counter({'lights': 10, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 10, 'bright': 7, 'the': 2})",29,4,20,0.42172026401,"Counter({'lights': 0.546481546314562, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.4535184536854379, 'bright': 0.4095826942550309, 'the': 0.13625212262485165})",0.42755615338,"Counter({'lights': 0.5, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.5, 'bright': 0.35, 'the': 0.1})"
1856663381,87.45,entity/admin/unit/8574,bright lights certain species will be attracted to the surface the plankton comes to the surface the smaller fish go after the plankton the larger fish go after the smaller fish the squid go after the even larger fish sounds,https://joran.org/ct/entity.admin.unit.2649/8574.mp4,../data/person-video-highlight,"Counter({'the': 34, 'fish': 18, 'plankton': 13, 'after': 12, 'surface': 11, 'lights': 10, 'to': 9, 'go': 9, 'smaller': 8, 'bright': 8, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 8, 'species': 8, 'squid': 6, 'comes': 6, 'be': 5, 'attracted': 5, 'certain': 5, 'will': 5, 'larger': 5, 'even': 1})",186,20,20,0.294599447981,"Counter({'the': 2.3737210635324115, 'fish': 1.133588608326936, 'plankton': 0.8552158552845947, 'after': 0.8435377190873464, 'surface': 0.7278903866350299, 'go': 0.6471026470374149, 'to': 0.6168998503893709, 'lights': 0.5864116324854842, 'smaller': 0.5627889962452975, 'bright': 0.48781192652742983, 'species': 0.4813568541277063, 'comes': 0.4003379343360994, 'squid': 0.3676414701619261, 'larger': 0.3565100719363884, 'be': 0.3348595769861222, 'certain': 0.3348595769861222, 'will': 0.3348595769861222, 'attracted': 0.3348595769861222, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.32720129285586513, 'even': 0.07446979853313969})",0.292197846342,"Counter({'the': 1.7, 'fish': 0.9, 'plankton': 0.65, 'after': 0.6, 'surface': 0.55, 'lights': 0.5, 'to': 0.45, 'go': 0.45, 'smaller': 0.4, 'bright': 0.4, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.4, 'species': 0.4, 'comes': 0.3, 'squid': 0.3, 'be': 0.25, 'certain': 0.25, 'will': 0.25, 'attracted': 0.25, 'larger': 0.25, 'even': 0.05})"
1856663382,36.1,entity/admin/unit/8576,thousands of unlicensed unregulated fishermen out there just stripping the,https://joran.org/ct/entity.admin.unit.2649/8576.mp4,../data/person-video-highlight,"Counter({'fishermen': 14, 'unregulated': 10, 'unlicensed': 9, 'thousands': 5, 'of': 2, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 2, 'out': 1, 'stripping': 1})",44,8,20,0.497494198454,"Counter({'fishermen': 0.7209517399446409, 'unregulated': 0.6165406865237305, 'unlicensed': 0.5558512035205236, 'thousands': 0.3322507237786786, 'of': 0.13562424167535553, 'stripping': 0.0634685570579345, 'out': 0.06068948300320684, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.03576302272277722})",0.439305800437,"Counter({'fishermen': 0.7, 'unregulated': 0.5, 'unlicensed': 0.45, 'thousands': 0.25, 'of': 0.1, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.1, 'stripping': 0.05, 'out': 0.05})"
1856663383,43.0,entity/admin/unit/8578,illegal fishing in this area is big business one night's catch of squid can net up to 72 thousand dollars these,https://joran.org/ct/entity.admin.unit.2649/8578.mp4,../data/person-video-highlight,"Counter({'fishing': 12, 'squid': 9, 'illegal': 9, 'business': 8, 'big': 7, ""night's"": 7, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 6, 'catch': 6, 'area': 4, 'thousand': 4, '72': 4, 'dollars': 4, 'one': 3, 'of': 3, 'net': 3, 'is': 3, 'this': 2, 'up': 2, 'to': 2, 'in': 2, 'can': 2})",102,21,20,0.3444381671,"Counter({'fishing': 0.7055712318881598, 'squid': 0.5572108425021615, 'illegal': 0.5470296389005332, 'business': 0.5256684058578497, 'big': 0.46787082643076855, ""night's"": 0.44833581053283866, 'catch': 0.3882185711770516, '72': 0.2705994811560121, 'thousand': 0.2705994811560121, 'dollars': 0.2705994811560121, 'area': 0.2598728701588657, 'of': 0.20952686929283812, 'net': 0.19523913553770472, 'one': 0.19523913553770472, 'is': 0.19523913553770472, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.16920500626338753, 'this': 0.13562424167535553, 'up': 0.13562424167535553, 'to': 0.13562424167535553, 'can': 0.13562424167535553, 'in': 0.13562424167535553})",0.300605109423,"Counter({'fishing': 0.6, 'squid': 0.45, 'illegal': 0.45, 'business': 0.4, 'big': 0.35, ""night's"": 0.35, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.3, 'catch': 0.3, '72': 0.2, 'area': 0.2, 'thousand': 0.2, 'dollars': 0.2, 'net': 0.15, 'one': 0.15, 'of': 0.15, 'is': 0.15, 'this': 0.1, 'up': 0.1, 'to': 0.1, 'can': 0.1, 'in': 0.1})"
1856663384,31.1,entity/admin/unit/8580,fishing boats were caught in the area one was sunk without Christopher Eddie's,https://joran.org/ct/entity.admin.unit.2649/8580.mp4,../data/person-video-highlight,"Counter({'boats': 10, 'fishing': 8, 'Christopher': 6, ""Eddie's"": 5, 'area': 4, 'caught': 4, 'sunk': 4, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 4, 'were': 3, 'in': 3, 'the': 3, 'one': 2, 'was': 2})",58,13,20,0.287609663503,"Counter({'boats': 0.6333066397142709, 'fishing': 0.5090580112307608, 'caught': 0.28409789250727796, 'sunk': 0.27167407029686974, 'area': 0.26653512631605175, 'Christopher': 0.24222928356804505, 'in': 0.20873754688897056, 'were': 0.20873754688897056, 'the': 0.20873754688897056, ""Eddie's"": 0.20737923742347342, 'one': 0.13562424167535553, 'was': 0.13562424167535553, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.12446407671768414})",0.246859083671,"Counter({'boats': 0.5, 'fishing': 0.4, 'Christopher': 0.3, ""Eddie's"": 0.25, 'area': 0.2, 'caught': 0.2, 'sunk': 0.2, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.2, 'in': 0.15, 'were': 0.15, 'the': 0.15, 'one': 0.1, 'was': 0.1})"
1856663385,37.2,entity/admin/unit/8583,enterprise might never have been,https://joran.org/ct/entity.admin.unit.2649/8583.mp4,../data/person-video-highlight,"Counter({'enterprise': 11, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 6, 'never': 5, 'been': 5, 'have': 5, 'might': 5})",37,6,20,0.359150828031,"Counter({'enterprise': 0.6352348572751899, 'never': 0.32737559339377176, 'been': 0.3221930655633306, 'have': 0.3221930655633306, 'might': 0.30795160356162243, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.2533657004158317})",0.319102692453,"Counter({'enterprise': 0.55, '\xe2\x80\x9cno_highlight\xe2\x80\x9d': 0.3, 'never': 0.25, 'been': 0.25, 'have': 0.25, 'might': 0.25})"
