worker,duration,job,judgment,unit,wqs,wwa,wsa,wqs_initial,wwa_initial,wsa_initial
3587109,25.3333333333,1,3,3,0.501283905501,0.682185266427,0.73482077402,0.216891871892,0.428169706265,0.506555855585
4316379,30.0,1,1,1,0.962212626377,0.970964373415,0.990986541548,0.881059992215,0.916316223196,0.961523947641
4688131,136.0,1,1,1,0.973723041331,0.973765782647,0.999956107191,0.733077574938,0.785714285714,0.933007822648
4711962,35.0,1,1,1,0.0,0.0,1e-08,0.0,0.0,0.0
6336109,122.0,1,1,1,0.973723041331,0.973765782647,0.999956107191,0.733077574938,0.785714285714,0.933007822648
6344072,86.75,1,4,4,0.658010296597,0.7718589235,0.852500731108,0.432615550409,0.571849424601,0.756520041462
6744840,93.0,1,1,1,0.948993088631,0.955203418784,0.993498421351,0.740210411537,0.785111702254,0.942809041582
7051387,66.3333333333,1,3,3,0.453369808695,0.635775450669,0.713097380872,0.339355602912,0.488287421179,0.694991491062
7385617,41.0,1,1,1,0.948993088631,0.955203418784,0.993498421351,0.740210411537,0.785111702254,0.942809041582
8108990,100.0,1,4,4,0.666163444616,0.777690258175,0.85659224558,0.470476552645,0.596715606491,0.788443519036
8715359,63.0,1,2,2,0.966979549374,0.970482312622,0.996390698519,0.855750604387,0.882095379027,0.970133870706
10959404,86.0,1,1,1,0.948993088631,0.955203418784,0.993498421351,0.740210411537,0.785111702254,0.942809041582
11598752,117.5,1,2,2,0.837802025121,0.877915412091,0.954308369101,0.55955608578,0.664745863397,0.841759410011
13300986,60.0,1,2,2,0.915452194843,0.917960486886,0.997267538114,0.651444685417,0.71573000409,0.910182166032
13581319,16.0,1,1,1,0.00959594173547,0.0918064884102,0.104523568014,0.0318090864922,0.142254559397,0.22360679775
16844474,68.0,1,1,1,0.962212626377,0.970964373415,0.990986541548,0.881059992215,0.916316223196,0.961523947641
16854635,125.333333333,1,3,3,0.621782183858,0.752094395706,0.826734233639,0.45200859987,0.608783669066,0.742478195192
17950689,159.666666667,1,3,3,0.00663723116923,0.069139800131,0.0959972571031,0.0186687511324,0.105694228304,0.176629806868
18531561,71.6666666667,1,3,3,0.471857268013,0.653490943102,0.7220563238,0.22604999403,0.411420447767,0.549437917481
18666417,204.0,1,1,1,0.846264084693,0.910523502103,0.929425855278,0.646359552636,0.769869613789,0.839570157152
18672993,26.0,1,1,1,0.948993088631,0.955203418784,0.993498421351,0.740210411537,0.785111702254,0.942809041582
18960682,41.0,1,1,1,0.846264084693,0.910523502103,0.929425855278,0.646359552636,0.769869613789,0.839570157152
20929875,33.0,1,1,1,0.818362736091,0.887815623833,0.921771045837,0.397973719053,0.570274723067,0.697863157799
21457135,37.0,1,1,1,0.962212626377,0.970964373415,0.990986541548,0.881059992215,0.916316223196,0.961523947641
21490235,140.75,1,4,4,0.71887848752,0.807390280212,0.890372977157,0.546869984636,0.64850823208,0.843273774463
21665495,34.75,1,4,4,0.298498615225,0.537512961925,0.555332868915,0.219954025955,0.438730608942,0.501341874654
21865639,25.0,1,1,1,0.948993088631,0.955203418784,0.993498421351,0.740210411537,0.785111702254,0.942809041582
23503585,293.666666667,1,3,3,0.577884556824,0.735013276186,0.786223290854,0.36765760147,0.526573333131,0.698207786718
24043308,283.0,1,2,2,0.224324911868,0.435084373907,0.515589447291,0.244147730507,0.4895395279,0.498729349915
24403612,51.0,1,4,4,0.355520456648,0.573565602294,0.619842708884,0.278895263914,0.461817987849,0.603907321178
24636399,137.5,1,2,2,0.88734449679,0.89931255229,0.986691995492,0.785404291705,0.810391175147,0.969166886056
25486037,123.0,1,1,1,0.973723041331,0.973765782647,0.999956107191,0.733077574938,0.785714285714,0.933007822648
26492726,41.25,1,4,4,0.829930597618,0.885590965264,0.937148898499,0.593682395902,0.691023113643,0.859135366358
26531841,91.0,1,2,2,0.915452194843,0.917960486886,0.997267538114,0.651444685417,0.71573000409,0.910182166032
26770238,62.0,1,1,1,3.16930557727e-05,0.0196319701574,0.00161435941063,0.0150066302433,0.0940162690012,0.159617376894
27934334,34.0,1,1,1,0.818362742507,0.887815627191,0.921771049578,0.58386503989,0.685333655284,0.851942751371
28103910,48.0,1,1,1,0.818362742507,0.887815627191,0.921771049578,0.58386503989,0.685333655284,0.851942751371
28301350,32.3333333333,1,3,3,0.727079774403,0.80649169955,0.901534107305,0.432806876359,0.578085027471,0.748690686997
28351359,32.0,1,1,1,0.962212626377,0.970964373415,0.990986541548,0.881059992215,0.916316223196,0.961523947641
29363385,63.75,1,4,4,0.836941950735,0.872456516319,0.959293598111,0.582468053466,0.670644243011,0.86852017226
29411108,40.5,1,2,2,0.96058167231,0.963697201883,0.996767107379,0.736645469751,0.785412993984,0.937908432115
30312592,41.6666666667,1,3,3,0.616736246177,0.745620867529,0.827144562384,0.363009844873,0.524001706893,0.692764622897
30777913,26.0,1,3,3,0.49666912511,0.646294547048,0.768487259219,0.336138706738,0.481968232703,0.697429174642
30941227,185.0,1,3,3,0.643545689546,0.780338459258,0.824700720452,0.351166553104,0.535111702254,0.656249062811
31089452,26.6666666667,1,3,3,0.627251962471,0.743274924062,0.843903032599,0.321840939457,0.488287421179,0.659121913646
31228275,90.75,1,4,4,0.251945616811,0.496859976135,0.507075693177,0.184851343446,0.372532273564,0.496202226127
31329809,62.75,1,4,4,0.738412706299,0.838349211437,0.880793702941,0.472752722117,0.622080335969,0.759954454083
31883685,23.5,1,2,2,0.846080433329,0.871739004254,0.970566223606,0.618052944113,0.69395433644,0.8906248029
