!amt_annotation_ids	!amt_worker_ids	orig_id	response	gold	start	end
P2NJYZDJJYDYZEXK0KHZCT2ZTKZHZA62XX0CSTVZ	A3SVC0WZT6RXIK	5:0@35@wsj/23/wsj_2386@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
P2NJYZDJJYDYZEXK0KHZ3Y5ZYTYYCZTZJ4ZSH010	A3DDC8XOWTIVFR	5:0@35@wsj/23/wsj_2386@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
P2NJYZDJJYDYZEXK0KHZCHEZ2FWVRXEWZ1NVJ2NZ	A14X3D8OM037XM	5:0@35@wsj/23/wsj_2386@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
P2NJYZDJJYDYZEXK0KHZ6YHZW1NQP3FJZ15SGGKZ	A2C7AMSJDELC7S	5:0@35@wsj/23/wsj_2386@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
P2NJYZDJJYDYZEXK0KHZ8AD4KKHX8AWZRKY7XXKZ	A1COEWJPEK7SLZ	5:0@35@wsj/23/wsj_2386@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
P2NJYZDJJYDYZEXK0KHZ6B3WWTZR6T6ZTWYFS1SZ	A1M0SEWUJYX9K0	5:0@35@wsj/23/wsj_2386@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
P2NJYZDJJYDYZEXK0KHZKB2CTDY3M9WZT8ZV8T2Z	A11DKC2IJVECXO	5:0@35@wsj/23/wsj_2386@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
P2NJYZDJJYDYZEXK0KHZHZ3WTV8B3W6Z1TM6TXY0	A10AKCTRPMAQQN	5:0@35@wsj/23/wsj_2386@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
P2NJYZDJJYDYZEXK0KHZFY4ZNV177YYJYKZPGY80	AKCPVJ2PBIDHN	5:0@35@wsj/23/wsj_2386@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
P2NJYZDJJYDYZEXK0KHZ7B86R8Z2KZSZ3YY0E9E0	ARU7VWGSD4JZ2	5:0@35@wsj/23/wsj_2386@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37Z2X6030SENJNJVW1W6S2Z	AUAZYGJWM6JLK	4:0@26@wsj/24/wsj_2415@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37Z8JPTRJYXNAAP4MXT92C0	A1M0SEWUJYX9K0	4:0@26@wsj/24/wsj_2415@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37ZEYBY10Y8DK9AP25YPXS0	A1COEWJPEK7SLZ	4:0@26@wsj/24/wsj_2415@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37ZNZ2ZHJZHE10ZV7RCKWY0	AE8AULTREKN53	4:0@26@wsj/24/wsj_2415@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37Z3W7ZX6GTT83WX5Y9NYNZ	A26A3WWGG1I286	4:0@26@wsj/24/wsj_2415@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37Z7XVZPTWYAZ9TVEYW2AX0	A3SVC0WZT6RXIK	4:0@26@wsj/24/wsj_2415@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37ZRXYZ441DDGJZM9ZBT1E0	AKCPVJ2PBIDHN	4:0@26@wsj/24/wsj_2415@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37ZSYTPPNZBZTJZ39ZQAZT0	AS51Z6DBWM9JM	4:0@26@wsj/24/wsj_2415@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37ZBSPZWY4ANW0A5BY0JVR0	ARU7VWGSD4JZ2	4:0@26@wsj/24/wsj_2415@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37Z6VVAKKYHKZ3MH3S6TZB0	A168B0VAQ1RXKB	4:0@26@wsj/24/wsj_2415@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
91SZM99J69TASE965RNZ6GWZSVHG8Y4TR7ZR5W8Z	A3SVC0WZT6RXIK	31:0@20@wsj/01/wsj_0111@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
91SZM99J69TASE965RNZXSZAM1YAHXZZRC06XX90	A1M0SEWUJYX9K0	31:0@20@wsj/01/wsj_0111@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
91SZM99J69TASE965RNZPY4ZPH8FP9FZP9XWPZ50	AKCPVJ2PBIDHN	31:0@20@wsj/01/wsj_0111@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
91SZM99J69TASE965RNZRWHZ5N8CEBWZ0XYETWY0	A168B0VAQ1RXKB	31:0@20@wsj/01/wsj_0111@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
91SZM99J69TASE965RNZ2AXZXC5Y2ZQZXGZXVYE0	A10AKCTRPMAQQN	31:0@20@wsj/01/wsj_0111@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
91SZM99J69TASE965RNZ6VC8QKZ493RZ0TCYJY0Z	A2M5QAJ3DHLJ5K	31:0@20@wsj/01/wsj_0111@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
91SZM99J69TASE965RNZ5YSZY60YVX7PPQYNTZPZ	A1K5LBIIANERSY	31:0@20@wsj/01/wsj_0111@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
91SZM99J69TASE965RNZTWZGNTW2K89Z7NYXEXCZ	A291KO368YRYCR	31:0@20@wsj/01/wsj_0111@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
91SZM99J69TASE965RNZTXTZNRSZS3P8H70KZW90	ARU7VWGSD4JZ2	31:0@20@wsj/01/wsj_0111@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
91SZM99J69TASE965RNZ6B9WQXZ45YXMK8ZCMBH0	A1KC5ZV1QG0CDI	31:0@20@wsj/01/wsj_0111@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37Z2X6030SENJNJVW1W6S2Z	AUAZYGJWM6JLK	10:0@14@wsj/24/wsj_2438@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37Z8JPTRJYXNAAP4MXT92C0	A1M0SEWUJYX9K0	10:0@14@wsj/24/wsj_2438@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37ZEYBY10Y8DK9AP25YPXS0	A1COEWJPEK7SLZ	10:0@14@wsj/24/wsj_2438@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37ZNZ2ZHJZHE10ZV7RCKWY0	AE8AULTREKN53	10:0@14@wsj/24/wsj_2438@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37Z3W7ZX6GTT83WX5Y9NYNZ	A26A3WWGG1I286	10:0@14@wsj/24/wsj_2438@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37Z7XVZPTWYAZ9TVEYW2AX0	A3SVC0WZT6RXIK	10:0@14@wsj/24/wsj_2438@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37ZRXYZ441DDGJZM9ZBT1E0	AKCPVJ2PBIDHN	10:0@14@wsj/24/wsj_2438@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37ZSYTPPNZBZTJZ39ZQAZT0	AS51Z6DBWM9JM	10:0@14@wsj/24/wsj_2438@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37ZBSPZWY4ANW0A5BY0JVR0	ARU7VWGSD4JZ2	10:0@14@wsj/24/wsj_2438@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37Z6VVAKKYHKZ3MH3S6TZB0	A168B0VAQ1RXKB	10:0@14@wsj/24/wsj_2438@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37Z2X6030SENJNJVW1W6S2Z	AUAZYGJWM6JLK	5:0@1@wsj/24/wsj_2442@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37Z8JPTRJYXNAAP4MXT92C0	A1M0SEWUJYX9K0	5:0@1@wsj/24/wsj_2442@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
S2XZRE03228ZR3S4E37ZEYBY10Y8DK9AP25YPXS0	A1COEWJPEK7SLZ	5:0@1@wsj/24/wsj_2442@wsj@en@on	1	1	Mon Mar 25 07:39:42 PDT 2019	Mon Mar 25 07:41:05 PDT 2019
