unit,duration,input.doc_id,input.index,input.sentence,input.sentence_id,input.validate_verbs,job,metrics.avg_annotations,metrics.avg_cos_clarity,metrics.avg_unique_annotations,output.selectedtags_desc,output.selectedtags_desc.annotations,output.selectedtags_desc.cos_clarity,output.selectedtags_desc.unique_annotations,worker,uqs,uqs_initial,unit_annotation_score,unit_annotation_score_initial
1368375533,78.2,wsj_0675,551,"Markets Stocks : Volume 170,330,000 shares .",26,Markets_0_7,event_validation,15.0,0.832050294338,2.0,"Counter({'no_event': 9, 'markets_0_7': 6})",15,0.832050294338,2,15,0.461211189556,0.485714285714,"Counter({'no_event': 0.5051707970776199, 'markets_0_7': 0.49482920292238014})","Counter({'no_event': 0.6, 'markets_0_7': 0.4})"
1368375534,20.2,wsj_0169,552,The other concern was n't identified .,1,concern_10_17 was_18_21 identified_26_36,event_validation,28.0,0.692934867184,4.0,"Counter({'identified_26_36': 11, 'concern_10_17': 9, 'was_18_21': 7, 'no_event': 1})",28,0.692934867184,4,15,0.654641463204,0.533840363465,"Counter({'identified_26_36': 0.8043013840438151, 'concern_10_17': 0.7077225403873328, 'was_18_21': 0.6084293965318608, 'no_event': 0.014592920696630868})","Counter({'identified_26_36': 0.7333333333333333, 'concern_10_17': 0.6, 'was_18_21': 0.4666666666666667, 'no_event': 0.06666666666666667})"
1368375535,26.9333333333,wsj_0816,553,Yield on the issue was 7.88 % .,21,Yield_0_5 on_6_8 was_19_22,event_validation,27.0,0.766651878,4.0,"Counter({'yield_0_5': 12, 'was_19_22': 8, 'on_6_8': 6, 'no_event': 1})",27,0.766651878,4,15,0.639516832086,0.566943614099,"Counter({'yield_0_5': 0.8372712891374705, 'was_19_22': 0.655699024023521, 'on_6_8': 0.5458326039989063, 'no_event': 0.03760701391992785})","Counter({'yield_0_5': 0.8, 'was_19_22': 0.5333333333333333, 'on_6_8': 0.4, 'no_event': 0.06666666666666667})"
1368375536,44.7333333333,wsj_0695,554,Giant has interests in cement making and newsprint .,3,has_6_9 interests_10_19 in_20_22,event_validation,29.0,0.737154140201,4.0,"Counter({'interests_10_19': 12, 'has_6_9': 9, 'in_20_22': 6, 'no_event': 2})",29,0.737154140201,4,15,0.653561330623,0.544662236749,"Counter({'interests_10_19': 0.8828594873588617, 'has_6_9': 0.7031349761521108, 'in_20_22': 0.5188047281449684, 'no_event': 0.07211741635659935})","Counter({'interests_10_19': 0.8, 'has_6_9': 0.6, 'in_20_22': 0.4, 'no_event': 0.13333333333333333})"
1368375537,26.8,PRI19980303.2000.2550,555,"For The World , I 'm Nancy Marshalll .",31,For_0_3 m_18_20,event_validation,19.0,0.7155417528,3.0,"Counter({'no_event': 8, 'for_0_3': 6, 'm_18_20': 5})",19,0.7155417528,3,15,0.403960366514,0.414145536898,"Counter({'for_0_3': 0.5014222477122731, 'm_18_20': 0.4511587326883236, 'no_event': 0.42125538702667026})","Counter({'no_event': 0.5333333333333333, 'for_0_3': 0.4, 'm_18_20': 0.3333333333333333})"
1368375538,23.7333333333,PRI19980205.2000.1890,556,For The World I 'm Nancy Marshall in Washington .,7,For_0_3 m_16_18 in_34_36,event_validation,25.0,0.558660819127,4.0,"Counter({'no_event': 7, 'for_0_3': 6, 'm_16_18': 6, 'in_34_36': 6})",25,0.558660819127,4,15,0.412360068823,0.381571317746,"Counter({'in_34_36': 0.5480006452845286, 'm_16_18': 0.5352255878261812, 'for_0_3': 0.5160568729721458, 'no_event': 0.3385927851821301})","Counter({'no_event': 0.4666666666666667, 'for_0_3': 0.4, 'm_16_18': 0.4, 'in_34_36': 0.4})"
1368375539,34.1333333333,wsj_0585,557,The SampP 500 is often used in arbitrage strategies .,4,is_14_16 used_23_27 in_28_30 arbitrage_31_40 strategies_41_51,event_validation,47.0,0.639676327339,5.0,"Counter({'used_23_27': 14, 'arbitrage_31_40': 11, 'strategies_41_51': 8, 'is_14_16': 7, 'in_28_30': 7})",47,0.639676327339,5,15,0.716682356418,0.654072027616,"Counter({'used_23_27': 0.9656055754076489, 'arbitrage_31_40': 0.8122328900433818, 'strategies_41_51': 0.6315422597113933, 'is_14_16': 0.60493492129783, 'in_28_30': 0.5834060121440652})","Counter({'used_23_27': 0.9333333333333333, 'arbitrage_31_40': 0.7333333333333333, 'strategies_41_51': 0.5333333333333333, 'is_14_16': 0.4666666666666667, 'in_28_30': 0.4666666666666667})"
1368375540,18.5333333333,APW19980818.0515,558,`` I am truly in the presence of heroes . '',13,am_5_7 in_14_16,event_validation,23.0,0.712470499879,3.0,"Counter({'am_5_7': 10, 'in_14_16': 9, 'no_event': 4})",23,0.712470499879,3,15,0.619728040806,0.494957740462,"Counter({'am_5_7': 0.7921841331454648, 'in_14_16': 0.7095282014833154, 'no_event': 0.16570450193081213})","Counter({'am_5_7': 0.6666666666666666, 'in_14_16': 0.6, 'no_event': 0.26666666666666666})"
1368375541,28.0666666667,wsj_0542,559,Telerate provides information about financial markets through an electronic network .,11,provides_9_17 markets_46_53,event_validation,24.0,0.813733471207,2.0,"Counter({'provides_9_17': 14, 'markets_46_53': 10})",24,0.813733471207,2,15,0.852389740899,0.801750154134,"Counter({'provides_9_17': 0.9664269701746865, 'markets_46_53': 0.7477944623851985})","Counter({'provides_9_17': 0.9333333333333333, 'markets_46_53': 0.6666666666666666})"
1368375542,29.9333333333,PRI19980303.2000.2550,560,"And that is a condition of the application , then .",21,is_9_11 condition_14_23,event_validation,23.0,0.757271229904,3.0,"Counter({'condition_14_23': 11, 'is_9_11': 9, 'no_event': 3})",23,0.757271229904,3,15,0.727273090116,0.539308733314,"Counter({'condition_14_23': 0.872854189353027, 'is_9_11': 0.7575012078238468, 'no_event': 0.08284308394883104})","Counter({'condition_14_23': 0.7333333333333333, 'is_9_11': 0.6, 'no_event': 0.2})"
1368375543,24.0,VOA19980303.1600.2745,561,VOA 's Jim Teple has details from our southeast news bureau .,3,has_17_20 details_21_28,event_validation,22.0,0.7453559925,3.0,"Counter({'has_17_20': 10, 'details_21_28': 8, 'no_event': 4})",22,0.7453559925,3,15,0.698240076658,0.474276094031,"Counter({'has_17_20': 0.8644754351981054, 'details_21_28': 0.7252235403926552, 'no_event': 0.09848481553899632})","Counter({'has_17_20': 0.6666666666666666, 'details_21_28': 0.5333333333333333, 'no_event': 0.26666666666666666})"
1368375544,44.8,wsj_0745,562,Politics also influences the government 's thinking on the anti-takeover restriction .,25,influences_14_24 on_52_54,event_validation,23.0,0.866578244826,3.0,"Counter({'influences_14_24': 14, 'on_52_54': 8, 'no_event': 1})",23,0.866578244826,3,15,0.840640394451,0.732772623781,"Counter({'influences_14_24': 0.9802860104486903, 'on_52_54': 0.7260547721103918, 'no_event': 0.01971398955130956})","Counter({'influences_14_24': 0.9333333333333333, 'on_52_54': 0.5333333333333333, 'no_event': 0.06666666666666667})"
